name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason
CachePrune	CachePrune: Privacy-Aware and Fine-Grained KV Cache Sharing for Efficient LLM Inference	Guanlong Wu, Zhaohan Li, Yao Zhang, Zheng Zhang, Jianyu Niu, Ye Wu, Yinqian Zhang	2026	preprint	2605.23640	--	--	--	--	--	Shares only privacy-irrelevant segments; shows unrestricted cross-user KV sharing leaks inputs via side channels.	3	3	admit	Verified at arXiv abs + HTML; no dedicated repo in paper; PDF downloaded.
ReCache	ReCache: Efficient KV Cache Reuse and Compression for Tool-Augmented LLM Agents	Yichu Fang, Sitong Wei, Haozhe Hu, Xiaoyu Shen	2026	preprint	2608.19662	https://github.com/EIT-NLP/ReCache	10	2026-08-21	None stated	code	Resource-local positions + contribution-selected layer/head routes; caches tool/skill schemas reused in varying orders.	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.
CoinRAG	CoinRAG: Contextualized Information Nugget KV Cache Reuse for Long-Context RAG	Gyuwan Kim, Cheoneum Park, Tao Yang	2026	preprint	2608.07458	--	--	--	--	--	Sub-chunk nugget-level offline KV reuse to cut redundancy/noise of coarse chunks under prefill-latency budgets.	3	2	admit	Verified at arXiv abs + HTML; no dedicated repo in paper; PDF downloaded.
LMCache	LMCache (production KV-cache layer; CacheBlend's serving home)	LMCache org contributors	2024	n/a (code)	--	https://github.com/LMCache/LMCache	11762	2026-09-12	Apache-2.0	engine (production)	Production disaggregated prefill/decode KV store (CPU/DRAM/remote tiers) used by CacheBlend-line research.	3	3	admit	Verified via GitHub API; paper-line covered by CacheBlend row; no clone per lane rules.
llamacpp	llama.cpp (local inference; KV-cache + prompt-caching APIs)	ggml-org contributors	2023	n/a (code)	--	https://github.com/ggml-org/llama.cpp	127920	2026-09-12	MIT	engine (production)	Local-first engine MelodyScribe-adjacent: prompt caching, KV reuse primitives, GGUF small-model support.	3	3	admit	Verified via GitHub API; no clone per lane rules.
TensorRT-LLM	TensorRT-LLM (NVIDIA serving; KV-cache reuse APIs)	NVIDIA contributors	2023	n/a (code)	--	https://github.com/NVIDIA/TensorRT-LLM	14600	2026-09-12	NOASSERTION (NVIDIA license)	engine (production)	High-performance serving with KV-cache management/reuse; referenced by MiniPIC-line work as PIC target.	3	2	admit	Verified via GitHub API; license field is NOASSERTION so capped relevance for reuse.
MLX	MLX (Apple-silicon local serving)	ml-explore contributors	2023	n/a (code)	--	https://github.com/ml-explore/mlx	28390	2026-09-11	MIT	engine (production)	Local on-device serving stack with KV-cache support; relevant to on-device small-model lane overlap.	3	2	admit	Verified via GitHub API; no clone per lane rules.
DAF	Decoupled Attention Fusion: Accelerating RAG with Efficient KV Cache Reuse	Xiabao Wu, Wentao Liu, Yongchao Liu, Jiajun Zheng	2026	preprint	2607.21599	--	--	--	--	--	Claims CacheBlend suffers severe accuracy degradation at longer contexts; proposes decoupled fusion fix.	3	2	abstain	Verified at arXiv abs only; not filed to bound scope. Cited in findings as contesting CacheBlend's no-loss claim; needs independent replication before depending on it.
C2KV	C2KV: Compressed and Composable KV Cache Reuse for Efficient LLM Inference	Chuheng Du, Junyi Chen et al.	2026	preprint	2607.17715	https://github.com/s7a9/C2KV	10	2026-08-17	None stated	--	Unifies compression with non-prefix reuse; warns naive compression+reuse combination severely degrades accuracy.	3	2	abstain	Verified at arXiv abs + HTML + GitHub API; not filed to bound scope; cited for the compression-interaction warning.
TokenDance	TokenDance: Scaling Multi-Agent LLM Serving via Collective KV Cache Sharing	Zhuohang Bian, Feiyang Wu et al.	2026	preprint	2604.03143	--	--	--	--	--	Collective KV sharing for All-Gather multi-agent round pattern.	3	2	abstain	Verified at arXiv abs only; not filed; multi-agent-collective angle is out of MelodyScribe's single-harness scope.
SparseX	SparseX: Efficient Segment-Level KV Cache Sharing for Interleaved LLM Serving	Quqing Zhang, Kai Chen et al.	2026	preprint	2606.01751	--	--	--	--	--	Segment-level sharing using Sparse-Q indices for cross-request/cross-turn segments.	3	2	abstain	Verified at arXiv abs only; not filed to bound scope; overlaps admitted PIC neighbours.
PCR	PCR: A Prefetch-Enhanced Cache Reuse System for Low-Latency RAG Serving	Wenfeng Wang, Xiaofeng Hou et al.	2026	preprint	2603.23049	--	--	--	--	--	Prefetch + reuse for high-throughput RAG serving.	3	1	abstain	Verified at arXiv abs only; not filed; prefetch scheduling is serving-ops, marginal to MelodyScribe.
MoT	Mixture-of-Translators: Translating KV Caches Across Heterogeneous LLMs	Jin-woo Lee, Minkyung Song et al.	2026	preprint	2607.28979	--	--	--	--	--	Maps source-model KV into target-model cache space across architectures.	3	2	abstain	Verified at arXiv abs only; not filed; cross-architecture translation is future work for MelodyScribe, noted as gap-adjacent.
UniversalReuse	A Universal Context-Reuse Layer for Cross-Model KV Sharing	Yi Li, Dongming Jiang et al.	2026	preprint	2608.30963	--	--	--	--	--	Studies cross-model KV sharing including differing models.	3	1	abstain	Verified at arXiv abs only; not filed; same reason as MoT; very fresh (31 Aug 2026) preprint.
LinearKV	LinearKV: One Cached State Suffices for Position-Independent Caching in Hybrid LLMs	--	2026	preprint	2608.11231	--	--	--	--	--	Single-state PIC for hybrid LLMs; sibling direction to admitted HYPIC.	3	1	abstain	Verified at arXiv abs only (authors not captured); not filed; HYPIC admitted as the representative hybrid-PIC item.
AgentKVShift	AgentKVShift: Efficient KV Cache Reuse for Agentic Memory Systems	--	2026	preprint	2607.21604	--	--	--	--	--	KV reuse over curated agentic memory units (summaries/keywords/tags) with selective recompute.	3	2	abstain	Verified at arXiv abs only (authors not captured); not filed; overlaps ReCache which is admitted with code.
BlockSegDistill	Towards Generalization of Block Attention via Automatic Segmentation and Block Distillation	--	2026	preprint	2605.15913	--	--	--	--	--	Auto-segmentation + block distillation to generalize admitted Block-Attention.	3	1	abstain	Verified at arXiv abs only (authors not captured); not filed; follow-up to admitted item, cited in its paragraph.
CacheProbe	CacheProbe: Auditing Prompt Cache Isolation in Gateway APIs	Ryan Fahey	2026	preprint	2605.30613	--	--	--	--	--	Shows gateway prompt-caching leaks via timing/metadata; OpenRouter case study.	3	2	abstain	Verified at arXiv abs only; not filed; security-audit angle overlaps lane 6; cited in security requirements.
KeyPooling	KeyPooling: Measuring Where LLM API Relay Paths Collapse Prompt Cache Isolation	Bowen Sun, Yixi Cai et al.	2026	preprint	2608.17485	--	--	--	--	--	Shared provider credentials across relay customers collapse cache isolation; measurement method.	3	2	abstain	Verified at arXiv abs only; not filed; same reason as CacheProbe; cited in security requirements.
CanIBuyKV	Can I Buy Your KV Cache?	--	2026	preprint	2606.13361	--	--	--	--	--	Position piece: publishers precompute document KV once; agents buy instead of re-prefilling.	3	1	abstain	Verified at arXiv abs only (authors not captured); not filed; manifesto-style, no mechanism artefact.
AdapShot	AdapShot: Adaptive Many-Shot In-Context Learning with Semantic-Aware KV Cache Reuse	--	2026	preprint	2605.03644	--	--	--	--	--	Adaptive shot-count + semantic-aware reuse for many-shot ICL.	3	1	abstain	Verified at arXiv abs only (authors not captured); not filed; ICL-shot focus is marginal to MelodyScribe.
ObjectCache	ObjectCache: Layerwise Object-Storage Retrieval for KV Cache Reuse	--	2026	preprint	2605.22850	--	--	--	--	--	S3-compatible tier for prefix KV overflow beyond GPU/DRAM.	3	1	abstain	Verified at arXiv abs only (authors not captured); not filed; storage-tiering, marginal to one-GPU harness.
ProbingDispensable	Probing the Prompt KV Cache: Where It Becomes Dispensable	V. Bannihatti Kumar et al.	2026	preprint	2605.30574	--	--	--	--	--	Splice study: redundancy is template form, not content; upper-layer prompt KV replaceable by neutral scaffold.	3	2	abstain	Verified at arXiv abs only; not filed; quality-measurement result cited in findings.
KVShareArena	KVShareArena: KV-Cache Reuse Across Contexts and Model Checkpoints	--	2026	preprint	2609.10266	--	--	--	--	--	Reuse across contexts and checkpoints.	3	1	abstain	Surfaced in arXiv search snippet; abs page not opened; too fresh (Sep 2026) to depend on.
KVBoost	KVBoost: Chunk-Level Key-Value Cache Reuse with Deviation-Guided Recomputation	--	2026	preprint	--	--	--	--	--	--	Deviation-guided recompute, CacheBlend-family.	3	1	abstain	Surfaced in arXiv search snippet; arXiv id not captured; not verified; listed so it is not silently dropped.
ProphetKV	ProphetKV: User-Query-Driven Selective Recomputation for Efficient KV Cache Reuse	--	2026	preprint	--	--	--	--	--	--	Query-driven selective recompute for RAG reuse.	3	1	abstain	Surfaced in arXiv search snippet; arXiv id not captured; not verified; listed so it is not silently dropped.
