name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason	lanes
BRIGHT	BRIGHT: A Realistic and Challenging Benchmark for Reasoning-Intensive Retrieval	Su, Yen, Xia, Shi, Muennighoff, Wang, Liu, Shi, Siegel, Tang, Sun, Yoon, Arik, Chen, Yu	2024	ICLR 2025	2407.12883					yes	1384 real-world queries where relevance needs multi-step reasoning; SOTA dense retrievers collapse and explicit reasoning adds up to 12.2 points.	2	3	admit	Abs page and ICLR proceedings entry opened; numbers verified.	10
Under-Over-1.5B	Between Underthinking and Overthinking: An Empirical Study of Reasoning Length and correctness in LLMs	Su et al.	2025	arXiv preprint	arXiv:2505.00127	none verified				none (empirical study)	1.5B reasoning models overthink easy items and underthink hard ones; prefer-shorter tuning keeps accuracy shorter	3	3	admit	Primary source opened; only length-miscalibration study run on 1.5B models (R1-Distill + DeepScaler)	4
CacheSaver	Cache Saver: A Modular Framework for Efficient, Affordable, and Reproducible LLM Inference	Nearchos Potamitis, Lars Henning Klein, Bardia Mohammadi, Chongyang Xu, Attreyee Mukherjee, Niket Tandon, Laurent Bindschaedler, Akhil Arora	2025	EMNLP 2025 Findings, pp.25703-25724	doi:10.18653/v1/2025.findings-emnlp.1402	https://github.com/au-clan/cachesaver	30	2026-02-11	MIT	paper+code	Namespace-aware list-valued response cache preserving i.i.d. sampling; ~25% cost and ~35% CO2 cut (vendor-reported).	2	3	admit	Verified at aclanthology.org/2025.findings-emnlp.1402 with full metadata and GitHub API; memoisation with statistical-integrity pattern.	6
CacheBlend	CacheBlend: Fast Large Language Model Serving for RAG with Cached Knowledge Fusion	Jiayi Yao, Hanchen Li, Yuhan Liu, Siddhant Ray, Yihua Cheng, Qizheng Zhang, Kuntai Du, Shan Lu, Junchen Jiang	2024	arXiv preprint (v3 Apr 2025)	2405.16444	https://github.com/LMCache/LMCache (linked in paper PDF; repo verified separately)	11785	2026-09-13	Apache-2.0	paper+code	Reused non-prefix chunk KV needs selective recompute for cross-attention; RAG prefill speedup with small quality loss.	4	3	admit	Verified at arxiv.org/abs/2405.16444; directly qualifies KV composition across Score sections.	6
BIRD	Can LLM Already Serve as A Database Interface? A BIg Bench for Large-Scale Database Grounded Text-to-SQLs	Jinyang Li et al.	2023	arXiv preprint	2305.03111					yes	12751 NL-SQL pairs over 95 DBs (33.4GB); dirty values, external knowledge, SQL efficiency	2	3	admit	Primary source opened; defines what makes SQL-shaped QA hard: values, not just schema	9
ChunkAttention	ChunkAttention: Efficient Self-Attention with Prefix-Aware KV Cache and Two-Phase Partition	Lu Ye, Ze Tao, Yong Huang, Yang Li	2024	ACL 2024 long, pp.11608-11620	doi:10.18653/v1/2024.acl-long.623		n/a	n/a	n/a	paper+PDF	Chunked KV in a prefix tree plus two-phase partitioned attention kernel; 3.2-4.8x kernel speedup for 1-4k shared prompts.	4	3	admit	Verified at aclanthology.org/2024.acl-long.623 with full metadata and PDF; no repo link on page.	6
CodeRAG-Bench	CodeRAG-Bench: Can Retrieval Augment Code Generation?	Zora Zhiruo Wang, Akari Asai, Xinyan Velocity Yu, Frank F. Xu, Yiqing Xie, Graham Neubig, Daniel Fried	2024	NAACL Findings 2025	2406.14497	https://github.com/code-rag-bench/code-rag-bench	173	2024-11-15	none declared	yes (benchmark + 25M-doc datastore)	Holistic retrieval-augmented code generation benchmark: 9k tasks, 5 doc sources, 10 retrievers x 10 LMs	2	3	admit	Verified at arXiv abs page and GitHub repo via API 2026-09-13	7,10
CodexGraph	CodexGraph: Bridging Large Language Models and Code Repositories via Code Graph Databases	Xiangyan Liu, Bo Lan, Zhiyuan Hu, Yang Liu, Zhicheng Zhang, Fei Wang, Michael Shieh, Wenmeng Zhou	2024	NAACL 2025	2408.03910	https://github.com/modelscope/modelscope-agent/tree/master/apps/codexgraph_agent	n/a (demo subdir; not queried)	n/a (not queried)	n/a (not queried)	partial (demo app only)	Static-analysis code graph (MODULE/CLASS/FUNCTION + CONTAINS/INHERITS/USES) queried by an LLM via write-then-translate to Cypher	2	3	admit	Verified at arXiv abs page and ACL Anthology page; venue NAACL 2025 confirmed	7
CrossCodeEval	CrossCodeEval: A Diverse and Multilingual Benchmark for Cross-File Code Completion	Yangruibo Ding, Zijian Wang, Wasi Uddin Ahmad, Hantian Ding, Ming Tan, Nihal Jain, Murali Krishna Ramanathan, Ramesh Nallapati, Parminder Bhatia, Dan Roth, Bing Xiang	2023	NeurIPS 2023 Datasets and Benchmarks	2310.11248	https://github.com/amazon-science/cceval	183	2025-08-15	Apache-2.0	yes (data + inference/eval code)	Cross-file completion benchmark: ~10k examples from ~1k repos in 4 languages, mined by static analysis	2	3	admit	Verified at arXiv abs page and GitHub repo via API 2026-09-13	7
DRAGIN	DRAGIN: Dynamic Retrieval Augmented Generation based on the Information Needs of Large Language Models	Su, Weihang; Tang, Yichen; Ai, Qingyao; Wu, Zhijing; Liu, Yiqun	2024	arXiv preprint	2403.10081					unknown	Token-need-weighted real-time retrieval trigger (QFS)	2	3	admit	Verified on arXiv abs page 2026-09-13; PDF downloaded (%PDF).	3,5
DeepRAG	DeepRAG: Thinking to Retrieve Step by Step for Large Language Models	Guan, Xinyan; Zeng, Jiali; Meng, Fandong; Xin, Chunlei; Lu, Yaojie; Lin, Hongyu; Han, Xianpei; Sun, Le	2025	arXiv preprint	2502.01142	https://github.com/gxy-gxy/DeepRAG				yes	MDP retrieve-or-rely-on-parametric per-subquery decisions	2	3	admit	Verified on arXiv abs/html pages; PDF downloaded (%PDF). Repo stated in paper.	3
DeepSeek-R1	DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning	DeepSeek-AI et al.	2025	Nature 2025 (645:633-638); arXiv	arXiv:2501.12948	none verified (org repos exist; no single paper repo confirmed)				open-weight checkpoints incl. 1.5B distills (per report)	Pure-RL reasoning with emergent reflection; distilled 1.5B open reasoning weights exist	3	3	admit	Primary source opened; existence proof for small open reasoning weights + RL-without-traces recipe	4,10
DeepSeekMath	DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models	Shao, Wang, Zhu, Xu, Song, Bi, Zhang, Zhang, Li, Wu, Guo	2024	CoRR	2402.03300	https://github.com/deepseek-ai/DeepSeek-Math	3440 (via search excerpt, not live API)		MIT	yes	Introduces GRPO and RLVR-style verifiable-reward RL; 7B reaches 51.7% MATH without tools.	3	3	admit	Abs page opened; repo URL and stars from fetched excerpts only.	10
Do-NOT-Think	Do NOT Think That Much for 2+3=? On the Overthinking of o1-Like LLMs	Chen et al.	2024	ICML 2025 (PMLR 267)	arXiv:2412.21187	https://github.com/galaxyChen/overthinking	9	2025-06-21	not returned by API	code + outcome/process efficiency metrics	o1-like models spend 1953% more tokens on 2+3; self-training pruning cuts ~49% tokens at equal accuracy	3	3	admit	Primary sources opened (abs + PMLR page + repo); first overthinking metrics + mitigation	4
Mirage	Does Thinking More always Help? Mirage of Test-Time Scaling in Reasoning Models	Ghosal et al.	2025	NeurIPS 2025	arXiv:2506.04210	none verified				none (method + experiments)	Wait-appending gains are variance mirage; parallel thinking beats sequential up to +20% at equal budget	4	3	admit	Primary source opened; decides sequential-vs-parallel budget question incl. 1.5B model	4
short-m-a-k	Don't Overthink it. Preferring Shorter Thinking Chains for Improved LLM Reasoning	Hassid et al.	2025	arXiv preprint	arXiv:2505.17813	none verified				none (method + experiments)	Shortest-of-k beats longest by up to 34.5%; short-3@k beats majority vote faster; train on short chains	4	3	admit	Primary source opened; parallel-short decoding recipe + training prescription	4
PagedAttention-vLLM	Efficient Memory Management for Large Language Model Serving with PagedAttention	Woosuk Kwon, Zhuohan Li, Siyuan Zhuang, Ying Sheng, Lianmin Zheng, Cody Hao Yu, Joseph E. Gonzalez, Hao Zhang, Ion Stoica	2023	SOSP 2023 (arXiv comments field)	2309.06180	https://github.com/vllm-project/vllm	91642	2026-09-13	Apache-2.0	paper+code	Block-paged KV cache with near-zero fragmentation and cross-request sharing; 2-4x vLLM throughput.	4	3	admit	Verified at arxiv.org/abs/2309.06180 and GitHub API; foundation of block-granular prefix caching.	6,10
LoCoMo	Evaluating Very Long-Term Conversational Memory of LLM Agents	Adyasha Maharana et al.	2024	arXiv preprint	2402.17753				yes	unknown	Machine-human pipeline generating very-long multi-session dialogues grounded on personas and temporal event graphs; QA over them.	1,2,4,5	3	admit	Abs + full-text HTML (event-graph/persona verified); standard substrate for measuring whether routing/recall choices matter end to end.	2,3,10
ExpeL	ExpeL: LLM Agents Are Experiential Learners	Andrew Zhao et al.	2023	arXiv preprint	2308.10144					paper	Extracts natural-language insights from past trajectories (successes and fails) and retrieves them at test time; learning without parameter updates.	4	3	admit	Abs page + PDF (%PDF) + full-text HTML opened (insight 169, retrieval 49 hits). True id found by search after recalled 2310.10495 failed verification.	8
Speculative-Decoding	Fast Inference from Transformers via Speculative Decoding	Yaniv Leviathan, Matan Kalman, Yossi Matias	2022	ICML 2023 Oral	2211.17192	unverified (no GitHub link on abs page)	unverified	unverified	unverified	paper	Draft-then-verify exact decoding; 2-3x with identical outputs.	5	3	admit	Abs page verified; draft-then-verify exact decoding, 2-3x on T5-XXL. PDF downloaded.	5
From-RAG-to-Memory	From RAG to Memory: Non-Parametric Continual Learning for LLMs	Bernal Jimenez Gutierrez et al.	2025	arXiv preprint	2502.14802	https://github.com/OSU-NLP-Group/HippoRAG	4000	2026-09-03	MIT	yes	HippoRAG-team continual-learning framing: memory as non-parametric accumulation with PPR-based organization across sessions.	2,4	3	admit	Abs + full-text HTML (continual/PPR verified); ingest-as-continual-learning view with the same PPR machinery.	2,3,9
gorilla-repo	Gorilla/BFCL codebase (repo artefact)	Berkeley SqueezeAI / ShishirPatil	2023-2026	GitHub repo (living)	none (same papers)	https://github.com/ShishirPatil/gorilla	13019	2026-04-13	Apache-2.0	APIBench + BFCL harness + retriever	Executable AST evaluator plus leaderboard harness plus retriever code MelodyScribe can reuse for op scoring.	1	3	admit	Verified via GitHub API; complements admitted papers; no PDF (repo artefact).	1
Gorilla	Gorilla: Large Language Model Connected with Massive APIs	Patil et al.	2023	arXiv preprint	2305.15334	https://github.com/ShishirPatil/gorilla	13019	2026-04-13	Apache-2.0	model + APIBench + retriever	Retriever plus fine-tuned LLaMA for API selection; retrieval grounds arguments and absorbs doc changes without retraining.	1	3	admit	Verified via arXiv abs page and GitHub API; PDF downloaded.	1,10
GraphCodeAgent	GraphCodeAgent: Dual Graph-Guided LLM Agent for Retrieval-Augmented Repo-Level Code Generation	Jia Li, Xianjie Shi, Kechi Zhang, Ge Li, Zhi Jin, Lei Li, Huangzhao Zhang, Jia Li, Fang Liu, Yuwei Zhang, Zhengwei Tao, Yihong Dong, Yuqi Zhu, Chongyang Tao	2025	arXiv preprint (v2 Nov 2025)	2504.10046	n/a (no repository found)	n/a	n/a	n/a	no (paper only)	Dual Requirement Graph + Structural-Semantic Code Graph guiding an LLM agent's multi-hop supportive-code retrieval	1	3	admit	Verified at arXiv abs page; v1 was titled CodeRAG, retitled GraphCodeAgent in v2; no artefact found	7
GraphCoder	GraphCoder: Enhancing Repository-Level Code Completion via Code Context Graph-based Retrieval and Language Model	Wei Liu, Ailun Yu, Daoguang Zan, Bo Shen, Wei Zhang, Haiyan Zhao, Zhi Jin, Qianxiang Wang	2024	ASE 2024	2406.07003	https://github.com/oceaneLIU/GraphCoder	66	2024-06-19	none declared	yes (code + tree-sitter parser blob)	Statement-level code-context graph (control-flow + data/control dependence) with coarse-to-fine structural retrieval	2	3	admit	Verified at arXiv abs page and GitHub repo via API 2026-09-13	7
Graphiti-repo	Graphiti (real-time temporal knowledge graphs for agents)	Zep/Graphiti team	2025	n/a (software)		https://github.com/getzep/graphiti	30850	2026-09-11	Apache-2.0	yes	OSS implementation of the Zep temporal-graph ingest: episode ingestion, entity/edge extraction, contradiction-aware invalidation.	2,5	3	admit	Repo opened via API + README paper link (2501.13956); admitted as artefact only. Shows Zep ingest running as maintained code.	2,9
Hammer	Hammer: Robust Function-Calling for On-Device Language Models via Function Masking	Lin et al.	2024	arXiv preprint	2410.04587	https://github.com/MadeAgents/Hammer	123	2025-06-13	Apache-2.0	models (1.5B/4B/7B) + tuning code + 7.5k irrelevance dataset	Function-name masking during training plus irrelevance-augmented negatives teach abstention; diagnoses cross-benchmark instability as name-memorization.	1	3	admit	Verified via arXiv abs page and GitHub API; PDF downloaded.	1
Hindsight	Hindsight is 20/20: Building Agent Memory that Retains, Recalls, and Reflects	Chris Latimer et al.	2025	arXiv preprint	2512.12818	https://github.com/vectorize-io/hindsight	23557	2026-09-13	MIT	yes	Retain/recall/reflect split that keeps evidence separate from inference and organizes memory beyond snippet extraction; commercial system with paper.	1,2,4	3	admit	Abs + full-text HTML (evidence/reflect verified) + repo README opened; evidence-vs-inference separation matches MelodyScribe verbatim-quote rule; reflection as post-ingest consolidation.	2,5,8
HippoRAG	HippoRAG: Neurobiologically Inspired Long-Term Memory for LLMs	Bernal Jimenez Gutierrez et al.	2024	NeurIPS 2024	2405.14831	https://github.com/OSU-NLP-Group/HippoRAG	4000	2026-09-03	MIT	yes	OpenIE entity/relation extraction into a KG plus Personalized PageRank; single-step retrieval matches iterative IRCoT at 10-30x lower cost.	2	3	admit	Abs + full-text HTML (OpenIE/PPR verified) + repo opened; parser-built (not LLM-built) graph ingest with measured cost advantage.	2,3,9
Hydragen	Hydragen: High-Throughput LLM Inference with Shared Prefixes	Jordan Juravsky, Bradley Brown, Ryan Ehrlich, Daniel Y. Fu, Christopher Re, Azalia Mirhoseini	2024	arXiv preprint	2402.05099	https://github.com/ScalingIntelligence/hydragen	58	2024-05-10	Apache-2.0	paper+code	Batches sequences sharing long prefixes with one shared-prefix attention pass; paper also links jordan-benjamin/hydragen.	4	3	admit	Verified at arxiv.org/abs/2402.05099 and GitHub API; closest published analog of instruction-first shared-prefix batching.	6
IRCoT	Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions	Trivedi, Harsh; Balasubramanian, Niranjan; Khot, Tushar; Sabharwal, Ashish	2022	arXiv preprint	2212.10509					unknown	Interleaved CoT-retrieval loop for multi-step QA	2	3	admit	Title/authors/date verified on arXiv abs page 2026-09-13; PDF downloaded (%PDF) and text-checked.	3
ReAct-SQL	Iteration Without Elaboration: A Simple ReAct Architecture Suffices for Text-to-SQL Generation	Jian Lu et al.	2026	arXiv preprint	2608.22651					yes	15-op typed DSL with execution feedback; 84.5pct BIRD mini-dev and 73.9pct EHR-SQL at up to 8x speed	1	3	admit	Primary source opened; grammar-constrained op DSL beats free-form SQL for a small-model harness	9
L1	L1: Controlling How Long A Reasoning Model Thinks With Reinforcement Learning	Aggarwal; Welleck	2025	COLM 2025	arXiv:2503.04697	(not verified; paper states code+models released)			(not verified)	L1 models (incl. 1.5B)	RL length control (LCPO); 1.5B Short-Reasoning-Model beats GPT-4o at equal length	3	3	admit	Primary source opened (abs); only RL length-constraint result at 1.5B scale	4
LLMCompiler-repo	LLMCompiler reference implementation (repo artefact)	SqueezeAI Lab	2024	GitHub repo	none (same as paper)	https://github.com/SqueezeAILab/LLMCompiler	1881	2024-07-10	MIT	planner/executor code	Executable planner plus DAG plus parallel executor the harness can port for op batching.	1	3	admit	Verified via GitHub API; complements admitted paper; no PDF (repo artefact).	1
LATM	Large Language Models as Tool Makers	Tianle Cai et al.	2023	arXiv preprint	2305.17126					paper	Splits tool maker from tool user with a dispatcher; candidate tools admitted only after passing unit tests (execution gate); tools cached for reuse.	4	3	admit	Abs page + PDF (%PDF) + full-text HTML opened (tool-maker 100, unit-test 7, dispatcher 22 hits). Cleanest execution-gate admission pattern for Folio-grade procedural content.	8
Huginn-probe	Latent Chain-of-Thought? Decoding the Depth-Recurrent Transformer	Lu et al.	2025	COLM 2025 workshop	arXiv:2507.02199	https://github.com/wenquanlu/huginn-latent-cot	21	2026-08-19	not returned by API	probe code	Probing Huginn-3.5B finds no structured latent CoT; recurrence 4->32 steps barely moves GSM8K vs explicit CoT	3	3	admit	Primary source opened; key caution against latent-only thinking for extraction	4
Co-LLM	Learning to Decode Collaboratively with Multiple Language Models	Shannon Zejiang Shen, Hunter Lang, Bailin Wang, Yoon Kim, David Sontag	2024	preprint (16 pages)	2403.03870	https://github.com/clinicalml/co-llm	130	unverified	unverified	paper+code	Unsupervised token-level deferral between generalist base and expert assistants.	5	3	admit	Abs page and repo verified; base model learns token-level deferral to assistant models without supervision. PDF downloaded.	5
Speak-Freely	Let Me Speak Freely? A Study on the Impact of Format Restrictions on Performance of Large Language Models	Tam et al.	2024	arXiv preprint	arXiv:2408.02442	none verified				none (eval study)	Format constraints degrade reasoning; JSON-mode answer-before-reason zeroes Last-Letter; 38pp gap on LLaMA-3-8B	1	3	admit	Primary source opened; measures structured-output tax incl. 8B model	4
LightRAG	LightRAG: Simple and Fast Retrieval-Augmented Generation	Zirui Guo et al.	2024	arXiv preprint (EMNLP 2025 per repo)	2410.05779	https://github.com/HKUDS/LightRAG	39610	2026-09-13	MIT	yes	Dual-level (low/high) keyword extraction into entities/relations with hybrid graph+vector retrieval; entity names double as index keys.	1,2	3	admit	Abs + full-text HTML (dual-level/low-level/high-level verified) + repo opened; keyword-level routing decision (entity-as-index) relevant to how MelodyScribe names evidence.	2,3
LongMemEval	LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory	Di Wu et al.	2024	arXiv preprint (ICLR 2025 per repo)	2410.10813	https://github.com/xiaowu0162/LongMemEval	1083	2026-05-11	MIT	yes	500 curated questions over scalable histories testing extraction, multi-session/temporal reasoning, knowledge updates, abstention.	1,2,5	3	admit	Abs + full-text HTML (500/extraction/knowledge-update/abstention verified) + repo opened; knowledge-update and abstention splits directly probe routing correctness and wrong-store cost.	2,3,10
MIRIX-repo	MIRIX multi-agent memory system (implementation)		2025			https://github.com/Mirix-AI/MIRIX	3441	2026-09-12	Apache-2.0	yes	Six-store memory system implementation including the Knowledge Vault	1	3	admit	GitHub API verified stars/push/license; implementation companion to the MIRIX paper	9
MIRIX	MIRIX: Multi-Agent Memory System for LLM-Based Agents	Yu Wang et al.	2025	arXiv preprint	2507.07957	https://github.com/Mirix-AI/MIRIX	3441	2026-09-12	Apache-2.0	yes	Six typed stores (Core/Episodic/Semantic/Procedural/Resource/Knowledge Vault), each with a dedicated Memory Manager plus a Meta Memory Manager that routes update/retrieval tasks.	1,2,4,5	3	admit	Abs page + full-text HTML + repo README opened; six-store taxonomy with per-store routing agents is the closest published analogue to MelodyScribe ingest routing.	2,3,9
Mem-alpha	Mem-α: Learning Memory Construction via Reinforcement Learning	Yu Wang et al.	2025	arXiv preprint	2509.25911				unknown	unknown	RL framework training the agent to decide what to store, how to structure it, and when to update; construction policy is learned, not prompted.	1,2,4,5	3	admit	Abs + full-text HTML (reward/reinforcement/construction verified); directly supports the harness-first-then-finetune thesis by making construction the RL objective.	2,8
Mem0	Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory	Prateek Chhikara et al.	2025	arXiv preprint	2504.19413	https://github.com/mem0ai/mem0	65236	2026-09-11	Apache-2.0	yes	Two-phase add (extract facts, then ADD/UPDATE/DELETE against similar memories) plus an optional graph store; the model decides the op and the store per fact.	1,2,5	3	admit	Abs + full-text HTML (ADD/UPDATE/DELETE, conflict handling present) + repo opened; canonical op-based ingest with explicit update/delete semantics.	2,9
MemBench	MemBench: Towards More Comprehensive Evaluation on the Memory of LLM-based Agents	Tan, Zhang, Ma, Chen, Dai, Dong	2025	ACL 2025 Findings	2506.21605	https://github.com/import-myself/Membench				yes	Factual plus reflective memory over participation and observation scenarios, scored on effectiveness, efficiency and capacity.	2	3	admit	Abs page and ACL Anthology entry opened; repo URL from paper text.	10
MemOS	MemOS: A Memory OS for AI System	Zhiyu Li et al.	2025	arXiv preprint	2507.03724	https://github.com/MemTensor/MemOS	11305	2026-09-09	Apache-2.0	yes	MemCube uniform memory unit plus MemScheduler that schedules across plaintext/activation/parameter tiers; type-and-tier decision is scheduler policy.	1,2,4,5	3	admit	Abs + full-text HTML (MemCube/MemScheduler/plaintext/activation verified) + repo README opened; the OS-view of routing: typed units plus an explicit scheduler, matching MelodyScribe one-process-two-jobs pressure.	2
MINJA	Memory Injection Attacks on LLM Agents via Query-Only Interaction	Shen Dong et al.	2025	NeurIPS 2025	2503.03704					yes (paper; abs notes code released, URL unverified)	Query-only memory injection via indication prompts plus progressive shortening; 98.2% injection success, 76.8% attack success; evades perplexity/rephrasing defenses.	4	3	admit	Abs page (abstract numbers recorded) + PDF (%PDF) + NeurIPS proceedings page opened. Primary security source: any unprivileged interlocutor can write persistent memory.	8
Memory-R1	Memory-R1: Enhancing LLM Agents to Manage and Utilize Memories via RL	Sikuan Yan et al.	2025	arXiv preprint	2508.19828				unknown	unknown	GRPO-trained manage-and-utilize loop over an external memory bank; static heuristic store/update/retrieve replaced by learned policy.	1,2,4	3	admit	Abs + full-text HTML (GRPO/update/retrieve verified); second independent RL-for-memory-management data point alongside Mem-alpha.	2,10
MiniCPM-repo	MiniCPM cookbook / Agent Skills / MCP adaptations (repo artefact)	OpenBMB community	2024-2026	GitHub repo (living)	n/a	https://github.com/OpenBMB/MiniCPM	10915	2026-09-12	Apache-2.0	cookbooks + skills + MCP examples	Vendor cookbook plus Agent Skills plus MCP tool-use adaptations: the deployment harness the brief names, verified live and maintained.	1	3	admit	Verified via GitHub API and repo README search results; no PDF (repo artefact).	1,3,4,5,6,7
MiniCPM4	MiniCPM4: Ultra-Efficient LLMs on End Devices	MiniCPM Team	2025	arXiv preprint (technical report)	2506.07900	https://github.com/OpenBMB/MiniCPM (same repo)	10915	2026-09-12	Apache-2.0	0.5B/8B weights + CPM.cu kernels	InfLLM-v2 trainable sparse attention plus CPM.cu inference stack plus hybrid MiniCPM4.1 think/no-think modes; reports MCP tool-use adaptation.	1	3	admit	Verified via arXiv abs page and GitHub API/README; PDF downloaded.	1,4
Mooncake	Mooncake: A KVCache-centric Disaggregated Architecture for LLM Serving	Ruoyu Qin, Zheming Li, Weiran He, Mingxing Zhang, Yongwei Wu, Weimin Zheng, Xinran Xu	2024	arXiv preprint	2407.00079	https://github.com/kvcache-ai/Mooncake	6564	2026-09-13	Apache-2.0	paper+code	Disaggregated prefill/decode with paged KV pooled in CPU DRAM/SSD and RDMA transfer; overload-oriented scheduling.	4	3	admit	Verified at arxiv.org/abs/2407.00079 (README citation) and GitHub API; argues against no-persisted-KV only if reuse justifies tiering.	6
Octopus-v2	Octopus v2: On-device language model for super agent	Chen and Li	2024	arXiv preprint	2404.01744	https://huggingface.co/NexaAIDev (org; models)	unknown	unknown	unknown (check per-model card)	2B model weights	Functional tokens replace RAG retrieval: one token selects the function and restructures args, cutting context 95 percent.	1	3	admit	Verified via arXiv abs page; vendor benchmark claims treated as vendor-reported only; PDF downloaded.	1
OneGen	OneGen: Efficient One-Pass Unified Generation and Retrieval for LLMs	Zhang, Jintian; Peng, Cheng; Sun, Mengshu; Chen, Xiang; Liang, Lei; Zhang, Zhiqiang; Zhou, Jun; Chen, Huajun	2024	Findings of EMNLP 2024	2409.05152	https://github.com/zjunlp/OneGen				yes	Autoregressive [RQ]/[RD] retrieval tokens in one forward pass	2	3	admit	Verified on arXiv abs page 2026-09-13 and ACL Anthology page; PDF downloaded (%PDF).	3
