name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason	lanes
colbert	ColBERT: Efficient and Effective Passage Search via Contextualized Late Interaction over BERT	Omar Khattab; Matei Zaharia	2020	arXiv preprint	2004.12832	https://github.com/stanford-futuredata/ColBERT	3932	2025-10-14	MIT	yes (weights+code)	Token-level late-interaction (MaxSim) over BERT encodings; per-pair NN cost avoided.	1	3	admit	Core multi-vector architecture; inference-cost reference point.	1,6,10
colbertv2	ColBERTv2: Effective and Efficient Retrieval via Lightweight Late Interaction	Keshav Santhanam; Omar Khattab; Jon Saad-Falcon; Christopher Potts; Matei Zaharia	2021	arXiv preprint	2112.01488	https://github.com/stanford-futuredata/ColBERT	3932	2025-10-14	MIT	yes (weights+code)	Residual compression plus denoised supervision shrinking late-interaction footprint.	1	3	admit	Shows multi-vector storage cost fix; relevant to vector-store sizing.	1,10
BoostCD	Combining Constrained and Unconstrained Decoding via Boosting: BoostCD and Its Application to Information Extraction	Marija Sakota, Robert West	2025	arXiv preprint	2506.14901	repo URL not captured	unknown	unknown	unknown	artefact status unverified	Boosted model fuses constrained and unconstrained drafts; constrained-only output shown to corrupt entities	4	3	admit	Verified at arxiv.org/abs/2506.14901 (abstract fetched verbatim); PDF downloaded and header-checked	7
dpr	Dense Passage Retrieval for Open-Domain Question Answering	Vladimir Karpukhin; Barlas Oğuz; Sewon Min; Patrick Lewis; Ledell Wu; Sergey Edunov; Danqi Chen; Wen-tau Yih	2020	EMNLP 2020 (per abs-page comments)	2004.04906					yes (weights+code)	Dual-encoder dense retriever beating BM25 9-19pp top-20 on open QA.	1	3	admit	Established dense bi-encoder retrieval paradigm; baseline for BEIR-era work.	1,2,6,10
DistServe	DistServe: Disaggregating Prefill and Decoding for Goodput-optimized Large Language Model Serving	Y. Zhong, S. Liu, J. Chen, J. Hu, Y. Zhu, X. Liu, X. Jin, H. Zhang	2024	OSDI 2024	2401.09670	https://github.com/LLMServe/DistServe	834	2025-04-06	Apache-2.0	yes (repo verified)	Co-optimised prefill/decode placement; 4.48x more requests / 10.2x tighter SLO vs SOTA	5	3	admit	Opened arxiv abs via search excerpt + PDF; repo via GitHub API. ID corrected from wrong recall via search.	8
vLLM-PagedAttention	Efficient Memory Management for Large Language Model Serving with PagedAttention	W. Kwon, Z. Li, S. Zhuang, Y. Sheng, L. Zheng, C. H. Yu, J. Gonzalez, H. Zhang, I. Stoica	2023	SOSP 2023	2309.06180	https://github.com/vllm-project/vllm	91577	2026-09-12	Apache-2.0	yes (engine + paper code)	OS-style paging of KV cache blocks; near-zero fragmentation; 2-4x throughput vs FasterTransformer/Orca	5	3	admit	Opened arxiv abs + PDF; repo via GitHub API. Core mechanism for KV sharing on one GPU.	8
HNSW	Efficient and robust approximate nearest neighbor search using Hierarchical Navigable Small World graphs	Malkov, Yu. A.; Yashunin, D. A.	2016	arXiv preprint	1603.09320	https://github.com/nmslib/hnswlib			unknown	unknown	Log-layered proximity-graph ANN index with neighbor-selection heuristic	6	3	admit	Abs page + PDF verified; core in-memory index option for MelodyScribe vector store	10
TAS-B	Efficiently Teaching an Effective Dense Retriever with Balanced Topic Aware Sampling	Sebastian Hofstatter, Sheng-Chieh Lin, Jheng-Hong Yang et al.	2021	SIGIR 2021	2104.06967	https://github.com/sebastian-hofstaetter/tas-balanced-dense-retrieval	60	2021-07-11	Apache-2.0	unverified	Topic-aware balanced sampling plus MarginMSE distillation from cross-encoder into 6-layer DistilBERT.	1	3	admit	Efficient-small-student distillation with balanced sampling; venue per official repo description; id recovered via arXiv title search.	2
EmbeddingGemma	EmbeddingGemma: Powerful and Lightweight Text Representations	Henrique Schechter Vera et al.	2025	arXiv preprint	2509.20354	weights via sentence-transformers-compatible release (google/embeddinggemma-300m, 2.1M downloads)	not-fetched	not-fetched	Gemma license (weights)	yes (300M params)	300M decoder-derived embedder; closest public analogue to MelodyScribe one-model goal	1	3	admit	Primary source opened (arXiv abs; paper linked from verified HF card). Read first for decoder-to-embedder at 300M.	3
SynthIE	Exploiting Asymmetry for Synthetic Training Data Generation: SynthIE and the Case of Information Extraction	Martin Josifoski, Marija Sakota, Maxime Peyrard, Robert West	2023	EMNLP 2023	2303.04132	https://github.com/epfl-dlab/SynthIE	63	2023-05-27	MIT	code+data+models released	Reverse-direction synthesis (triples to text) yields 1.8M pairs training 220M/770M extractors	4	3	admit	Verified at arxiv.org/abs/2303.04132, ACL Anthology and repo page; PDF downloaded and header-checked	7
EDC	Extract, Define, Canonicalize: An LLM-based Framework for Knowledge Graph Construction	Bowen Zhang, Harold Soh	2024	EMNLP 2024	2404.03868	https://github.com/clear-nus/edc	193	2024-08-13	MIT	code released	Open few-shot extraction first, then schema definition and post-hoc canonicalization	4	3	admit	Verified at arxiv.org/abs/2404.03868 and ACL Anthology page; PDF downloaded and header-checked	7,9
FlashInfer	FlashInfer: Efficient and Customizable Attention Engine for LLM Inference Serving	Z. Ye, L. Chen, R. Lai, W. Lin, Y. Zhang, S. Wang, T. Chen, B. Kasikci, V. Grover, A. Krishnamurthy, L. Ceze	2025	MLSys 2025	2501.01005	https://github.com/flashinfer-ai/flashinfer	6385	2026-09-12	Apache-2.0	yes (repo verified)	JIT attention templates + block-sparse KV formats + StreamK scheduling; 29-69% inter-token-latency cut; cascade attention for shared prefixes	5	3	admit	Opened arxiv abs via search excerpt + PDF; repo via GitHub API. Kernel substrate incl. shared-prefix support.	8
FollowIR	FollowIR: Evaluating and Teaching Information Retrieval Models to Follow Instructions	Weller et al.	2024	NAACL 2025	2403.15246	unverified	unverified	unverified	unverified	yes (FollowIR-7B model and training data per paper)	TREC-narrative instruction benchmark with p-MRR metric plus training data that teaches instruction following.	3	3	admit	HTML and ACL anthology PDF excerpts opened; 3B-parameter threshold and FollowIR-7B figures verified. Code URL not opened.	5
GraphRAG	From Local to Global: A Graph RAG Approach to Query-Focused Summarization	Darren Edge, Ha Trinh, Newman Cheng, Joshua Bradley, Alex Chao, Apurva Mody, Steven Truitt, Dasha Metropolitansky, Robert Osazuwa Ness, Jonathan Larson	2024	arXiv preprint	2404.16130	https://github.com/microsoft/graphrag	36000	2026-08-24	MIT	code+prompts+docs released	LLM extracts entity/relation graph with one-shot gleaning prompt, then community summaries	4	3	admit	Verified at arxiv.org/abs/2404.16130; PDF downloaded and header-checked	7,9
HippoRAG2	From RAG to Memory: Non-Parametric Continual Learning for Large Language Models	Bernal Jimenez Gutierrez, Yiheng Shu, Weijian Qi, Sizhe Zhou, Yu Su	2025	ICML 2025	2502.14802	https://github.com/OSU-NLP-Group/HippoRAG	3999	2026-09-03	MIT	code+data released	OpenIE NER plus query-to-triple generation and LLM triple filtering before PageRank	4	3	admit	Verified at arxiv.org/abs/2502.14802; PDF downloaded and header-checked	7,9
GPL	GPL: Generative Pseudo Labeling for Unsupervised Domain Adaptation of Dense Retrieval	Kexin Wang, Nandan Thakur, Nils Reimers et al.	2021	arXiv preprint	2112.07577	https://github.com/UKPLab/gpl	342	2023-07-06	Apache-2.0	unverified	Query generation plus cross-encoder pseudo-labels plus hard negatives for label-free domain adaptation.	1	3	admit	Label-free adaptation recipe for a private corpus like the Score; needs only unlabelled passages.	2,6
GPT-NER	GPT-NER: Named Entity Recognition via Large Language Models	Shuhe Wang, Xiaofei Sun, Xiaoya Li, Rongbin Ouyang, Fei Wu, Tianwei Zhang, Jiwei Li, Guoyin Wang	2023	Findings of NAACL 2025	2304.10428	repo URL not captured	unknown	unknown	unknown	code+data stated released in paper	@@## marker-token copy formulation plus self-verification QA to suppress NULL-input hallucinations	4	3	admit	Verified at arxiv.org/abs/2304.10428 and ACL Anthology page; PDF downloaded and header-checked	7
GRC	GRC: Unifying Reasoning-Driven Generation, Retrieval and Compression	Zhongtao Miao, Qiyu Wu, Yoshimasa Tsuruoka	2026	arXiv preprint	2605.09100				UNK	code unverified	Meta latent tokens plus unified generative/representational/compressive tuning unify generation, text representation and context compression in one forward pass.	2	3	admit	Verified at arXiv abs page (title/authors/dates/abstract); found via S2 forward-chain from GritLM. Repository not checked this session.	4
Gecko	Gecko: Versatile Text Embeddings Distilled from Large Language Models	Jinhyuk Lee, Zhuyun Dai, Xiaoqi Ren et al.	2024	arXiv preprint	2403.20327	none located (Google-internal pipeline)	n/a	n/a	n/a	unverified	Two-step LLM distillation: synthetic pair generation then LLM relabeling of positives and hard negatives into a compact retriever.	1	3	admit	Key small-model distillation recipe (compact model from LLM labels); no public training code found.	2,3,5,6
gritlm	Generative Representational Instruction Tuning	Niklas Muennighoff; Hongjin Su; Liang Wang; Nan Yang; Furu Wei; Tao Yu; Amanpreet Singh; Douwe Kiela	2024	arXiv preprint	2402.09906	https://github.com/ContextualAI/gritlm	700	2025-06-25	MIT	yes (weights+code)	Instruction-switched joint generative+embedding training at no loss to either.	1,2	3	admit	Direct answer to unified-model question: GRIT matches single-mode training.	1,4,5
GoLLIE	GoLLIE: Annotation Guidelines improve Zero-Shot Information-Extraction	Oscar Sainz, Iker Garcia-Ferrero, Rodrigo Agerri, Oier Lopez de Lacalle, German Rigau, Eneko Agirre	2024	ICLR 2024	2310.03668	https://github.com/hitz-zentroa/GoLLIE	443	2024-10-27	Apache-2.0	code+data+models (HiTZ/GoLLIE-7B/13B/34B) released	Models fine-tuned to follow code-formatted annotation guidelines (Python classes) on unseen schemas	4	3	admit	Verified at arxiv.org/abs/2310.03668, OpenReview and repo page; PDF downloaded and header-checked	7
HippoRAG-paper	HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models	Gutierrez et al.	2024	NeurIPS 2024	2405.14831	https://github.com/OSU-NLP-Group/HippoRAG	3999	2026-09-03	MIT	yes (code + data)	Two-step OpenIE plus embedding synonym edges, single-step PPR retrieval; 10-30x cheaper / 6-13x faster than IRCoT	6	3	admit	Abs page + full PDF opened; repo via GitHub API. Key evidence for cheap retrieval stage ordering.	9
Ethayarajh	How Contextual are Contextualized Word Representations? Comparing the Geometry of BERT, ELMo, and GPT-2 Embeddings	Ethayarajh	2019	EMNLP-IJCNLP 2019 (per OpenAlex ACL record, secondary)	1909.00512					unknown	Compares the geometry of BERT, ELMo and GPT-2 embeddings (per title), the only admitted study covering a causal decoder.	1	3	admit	Verified at arxiv.org/abs/1909.00512; correct id recovered via OpenAlex after a misrecalled id failed verification.	6
Hydra	Hydra: Unifying Document Retrieval and Generation in a Single Vision-Language Model	Athos Georgiou	2026	arXiv preprint	2603.28554				UNK	code unverified	Single LoRA trained only for retrieval is toggled at inference: on gives ColBERT-style multi-vector embeddings, off recovers base generation with 426/426 LM tensors byte-identical; the cleanest adapter-switch measurement found.	2	3	admit	Verified at arXiv abs page (title/authors/dates/abstract); found via S2 forward-chain from OneGen citations. Caution: single author, vision modality, verify byte-identical claim in full text before citing as fact.	4
HydraGen	Hydragen: High-Throughput LLM Inference with Shared Prefixes	J. Juravsky, B. Brown, R. Ehrlich, D. Y. Fu, C. Re, A. Mirhoseini	2024	ICML 2024 ES-FoMo-II workshop	2402.05099	https://github.com/ScalingIntelligence/hydragen	58	2024-05-10	Apache-2.0	yes (repo verified, stale)	Prefix/suffix attention decomposition; inter-sequence batching; up to 32x CodeLlama-13B throughput vs vLLM	5	3	admit	Opened arxiv abs via search excerpt + PDF; repo via API (stale since 2024-05). ID corrected from wrong recall via search.	8
InstructIR	INSTRUCTIR: A Benchmark for Instruction Following of Information Retrieval Models	Oh et al.	2024	arXiv preprint	2402.14334	https://github.com/kaistAI/InstructIR	32	2024-06-13	MIT	yes (HF dataset plus code)	Instance-wise user-aligned instructions with Robustness@10 metric; instruction-tuned retrievers can underperform.	3	3	admit	Abs page, HTML, and repo page opened; benchmark design and INSTRUCTOR-underperformance finding verified.	5
e5mistral	Improving Text Embeddings with Large Language Models	Liang Wang; Nan Yang; Xiaolong Huang; Linjun Yang; Rangan Majumder; Furu Wei	2024	arXiv preprint	2401.00368					yes (weights)	Decoder-only LLM fine-tuned on synthetic multilingual data, under 1k steps, no labels.	1	3	admit	Minimal decoder-embedder recipe: synthetic-only data, last-token pooling, short train.	1,2,3,4,5
InPars	InPars: Data Augmentation for Information Retrieval using Large Language Models	Luiz Bonifacio, Hugo Abonizio, Marzieh Fadaee et al.	2022	arXiv preprint	2202.05144	https://github.com/zetaalphavector/InPars (community mirror; official code not located)	201	2025-06-05	Apache-2.0	unverified	GPT-3 generated synthetic queries per document with consistency filtering, then standard finetune.	1	3	admit	Original LLM query-generation recipe; id recovered via arXiv title search after memory-guess ids failed.	2,6
InstructUIE	InstructUIE: Multi-task Instruction Tuning for Unified Information Extraction	Xiao Wang, Weikang Zhou, Can Zu, Han Xia, Tianze Chen, Yuansen Zhang, Rui Zheng, Junjie Ye, Qi Zhang, Tao Gui, Jihua Kang, Jingsheng Yang, Siyuan Li, Chunsai Du	2023	arXiv preprint	2304.08085	https://github.com/BeyonderXX/InstructUIE	396	2025-02-28	MIT	code+IE-INSTRUCTIONS (32 datasets) released	Instruction+options+text in, structured sentence out, with auxiliary span/typing subtasks	4	3	admit	Verified at arxiv.org/abs/2304.08085 and repo page; PDF downloaded and header-checked	7
IsoScore	IsoScore: Measuring the Uniformity of Embedding Space Utilization	Rudman, Gillman, Rayne, Eickhoff	2021	Findings of ACL 2022 (per OpenAlex, secondary)	2108.07344					unknown — repo not resolved	A score for how uniformly an embedding space is utilised (per title).	1	3	admit	Verified at arxiv.org/abs/2108.07344; correct id recovered via OpenAlex.	6
KGGen	KGGen: Extracting Knowledge Graphs from Plain Text with Language Models	Belinda Mo, Kyssen Yu, Joshua Kazdan, Proud Mpala, Lisa Yu, Chris Cundy, Charilaos Kanatsoulis, Sanmi Koyejo	2025	NeurIPS 2025	2502.09956	https://github.com/stair-lab/kg-gen	1269	2026-03-24	unverified	code+package+MINE benchmark released	Two-stage DSPy extraction (entities then relations) plus iterative LM clustering for resolution	4	3	admit	Verified at arxiv.org/abs/2502.09956 and NeurIPS proceedings page; PDF downloaded and header-checked	7,9
LLM2Vec-Gen	LLM2Vec-Gen: Generative Embeddings from Large Language Models	Parishad BehnamGhader, Vaibhav Adlakha, Fabian David Schmidt, Nicolas Chapados, Marius Mosbach, Siva Reddy	2026	arXiv preprint	2603.10913	https://github.com/McGill-NLP/llm2vec-gen	77	2026-04-05	MIT	code yes / weights unverified	Trainable special tokens compress the frozen LLM's own potential response into a fixed-length embedding in output space, trained on unlabeled queries only; backbone stays frozen.	2	3	admit	Verified at arXiv abs page; repo stars/push/license verified via GitHub API; found via S2 forward-chain from GritLM.	4
llm2vec	LLM2Vec: Large Language Models Are Secretly Powerful Text Encoders	Parishad BehnamGhader; Vaibhav Adlakha; Marius Mosbach; Dzmitry Bahdanau; Nicolas Chapados; Siva Reddy	2024	arXiv preprint	2404.05961	https://github.com/McGill-NLP/llm2vec	1714	2026-04-04	MIT	yes (code+converted weights)	Bidirectional-attention swap plus MNTP plus contrastive tuning; 1.3B-8B; unsupervised SOTA on MTEB.	1,2	3	admit	Canonical cheap recipe for turning a small generative model into an encoder.	1,2,4,5
LMCache	LMCache: An Efficient KV Cache Layer for Enterprise-Scale LLM Inference	Y. Liu, Y. Cheng, J. Yao, Y. An, X. Chen, S. Feng, Y. Huang, S. Shen, R. Zhang, K. Du, J. Jiang	2025	arXiv preprint	2510.09665	https://github.com/LMCache/LMCache	11771	2026-09-12	Apache-2.0	yes (repo verified)	Engine-independent KV layer: chunked offload, PD disaggregation, CacheBlend non-prefix reuse; up to 15x vLLM throughput	5	3	admit	Opened arxiv abs via search excerpt + PDF; repo via GitHub API. Runnable layer for MelodyScribe KV reuse.	8
LightRAG	LightRAG: Simple and Fast Retrieval-Augmented Generation	Zirui Guo, Lianghao Xia, Yanhua Yu, Tu Ao, Chao Huang	2024	EMNLP 2025 Findings	2410.05779	https://github.com/HKUDS/LightRAG	39594	2026-09-12	MIT	code+prompts released	Single-pass LLM extraction of entities/relations plus keyword profiling and dedup	4	3	admit	Verified at arxiv.org/abs/2410.05779; PDF downloaded and header-checked	7,9
bgem3	M3-Embedding: Multi-Linguality, Multi-Functionality, Multi-Granularity Text Embeddings Through Self-Knowledge Distillation	Jianlv Chen; Shitao Xiao; Peitian Zhang; Kun Luo; Defu Lian; Zheng Liu	2024	arXiv preprint	2402.03216	https://github.com/FlagOpen/FlagEmbedding	12153	2026-08-24	MIT	yes (weights+code)	100+ languages; dense+multi-vector+sparse in one model; 8k tokens; self-distillation across heads.	1	3	admit	Hybrid single-model multi-granularity; self-KD across functionalities.	1,2,3,10
MAGNET	MAGNET: Augmenting Generative Decoders with Representation Learning and Infilling Capabilities	Savya Khosla, Aditi Tiwari, Kushal Kafle, Simon Jenni, Handong Zhao, John Collomosse, Jing Shi	2025	arXiv preprint	2501.08648				UNK	code unverified	Three self-supervised objectives plus a new attention mechanism adapt a decoder-only LLM to emit robust representations and infill spans while staying generative.	2	3	admit	Verified at arXiv abs page (title/authors/dates/abstract). Repository not checked this session.	4
mmteb	MMTEB: Massive Multilingual Text Embedding Benchmark	Kenneth Enevoldsen; Isaac Chung; Imene Kerboua; Márton Kardos; Ashwin Mathur; David Stap; Jay Gala; Wissam Siblini; Dominik Krzemiński; Genta Indra Winata; Saba Sturua; Saiteja Utpala; Mathieu Ciancone; Marion Schaeffer; Gabriel Sequeira; Diganta Misra; Shreeya Dhakal; Jonathan Rystrøm; Roman Solomatin; Ömer Çağatan; Akash Kundu; Martin Bernstorff; Shitao Xiao; Akshita Sukhlecha; Bhavish Pahwa; Rafał Poświata; Kranthi Kiran GV; Shawon Ashraf; Daniel Auras; Björn Plüster; Jan Philipp Harries; Loïc Magne; Isabelle Mohr; Mariya Hendriksen; Dawei Zhu; Hippolyte Gisserot-Boukhlef; Tom Aarsen; Jan Kostkan; Konrad Wojtasik; Taemin Lee; Marek Šuppa; Crystina Zhang; Roberta Rocca; Mohammed Hamdy; Andrianos Michail; John Yang; Manuel Faysse; Aleksei Vatolin; Nandan Thakur; Manan Dey; Dipam Vasani; Pranjal Chitale; Simone Tedeschi; Nguyen Tai; Artem Snegirev; Michael Günther; Mengzhou Xia; Weijia Shi; Xing Han Lù; Jordan Clive; Gayatri Krishnakumar; Anna Maksimova; Silvan Wehrli; Maria Tikhonova; Henil Panchal; Aleksandr Abramov; Malte Ostendorff; Zheng Liu; Simon Clematide; Lester James Miranda; Alena Fenogenova; Guangyu Song; Ruqiya Bin Safi; Wen-Ding Li; Alessia Borghini; Federico Cassano; Hongjin Su; Jimmy Lin; Howard Yen; Lasse Hansen; Sara Hooker; Chenghao Xiao; Vaibhav Adlakha; Orion Weller; Siva Reddy; Niklas Muennighoff	2025	arXiv preprint	2502.13595					yes (benchmark code+data)	500+ tasks, 250+ languages; LLM-embedders lead some languages, not uniformly.	1	3	admit	Current multilingual best definition; instruction-following/long-doc tasks.	1,6
mteb	MTEB: Massive Text Embedding Benchmark	Niklas Muennighoff; Nouamane Tazi; Loïc Magne; Nils Reimers	2022	arXiv preprint	2210.07316					yes (benchmark code+data)	58 datasets x 8 tasks; no single method dominates all tasks.	1	3	admit	Definition of best; source of top-vs-middle separation claim.	1,6
bge-en-icl	Making Text Embedders Few-Shot Learners	Li et al.	2024	arXiv preprint	2409.15700	https://github.com/FlagOpen/FlagEmbedding	12153	2026-08-24	MIT	yes (model weights per paper; BAAI org on HF, URL unopened)	Train with 0-5 sampled in-context examples prepended to queries so the embedder gains few-shot ability without losing zero-shot.	3	3	admit	Abs page and HTML opened; randomized-example training strategy and zero-shot-vs-few-shot figures verified. HF model URL not opened.	5
mrl	Matryoshka Representation Learning	Aditya Kusupati; Gantavya Bhatt; Aniket Rege; Matthew Wallingford; Aditya Sinha; Vivek Ramanujan; William Howard-Snyder; Kaifeng Chen; Sham Kakade; Prateek Jain; Ali Farhadi	2022	arXiv preprint	2205.13147					method only	Nested coarse-to-fine representation; truncate dims at query time, no retraining.	1	3	admit	Directly applicable: Matryoshka truncation for store-size/QPS trade-offs.	1,3,10
MemServe	MemServe: Context Caching for Disaggregated LLM Serving with Elastic Memory Pool	C. Hu, H. Huang, J. Hu, J. Xu, X. Chen, T. Xie, C. Wang, S. Wang, Y. Bao, N. Sun, Y. Shan	2024	arXiv preprint	2406.17565	-	-	-	-	unknown	MemPool unifying context caching + disaggregated inference; global prompt-tree routing; JCT/TTFT cuts up to 53%/85%	5	3	admit	Opened arxiv abs via search excerpt + PDF. Memory-pool + routing design for shared state.	8
MetaEOL	Meta-Task Prompting Elicits Embeddings from Large Language Models	Lei et al.	2024	ACL 2024	2402.18458	https://github.com/Yibin-Lei/MetaEOL	12	2024-07-25	unverified	no (code only)	Average embeddings over eight meta-task prompts with explicit one-word limitation, no training.	3	3	admit	Abs page, HTML, ACL page, and repo page opened; multi-prompt averaging result verified.	5
MiniLM	MiniLM: Deep Self-Attention Distillation for Task-Agnostic Compression of Pre-Trained Transformers	Wang, Wenhui; Wei, Furu; Dong, Li; Bao, Hangbo; Yang, Nan; Zhou, Ming	2020	arXiv preprint	2002.10957	-			n/a (paper)	yes	Distill last-layer attention + value relations; 6-layer student 2.0x faster at >99% accuracy	6	3	admit	Abs page + PDF verified; recipe for 0.3B-class rerankers and small-model distillation	10
MiniRAG	MiniRAG: Towards Extremely Simple Retrieval-Augmented Generation	Tianyu Fan, Jingyuan Wang, Xubin Ren, Chao Huang	2025	ACL 2026	2501.06713	https://github.com/HKUDS/MiniRAG	2013	2025-10-16	MIT	code+LiHua-World benchmark released	SLM-friendly design: entity extraction (not abstract summarization) as the small-model task	4	3	admit	Verified at arxiv.org/abs/2501.06713 and repo page; PDF downloaded and header-checked	7,9
Mooncake	Mooncake: A KVCache-centric Disaggregated Architecture for LLM Serving	R. Qin, Z. Li, W. He, M. Zhang, Y. Wu, W. Zheng, X. Xu	2024	FAST 2025	2407.00079	https://github.com/kvcache-ai/Mooncake	6562	2026-09-12	Apache-2.0	yes (repo + transfer engine)	KVCache-centric disaggregation + Conductor scheduler + early rejection; Kimi +75% requests; TE 87-190 GB/s	5	3	admit	Opened arxiv abs via search excerpt + PDF; repo via GitHub API. Production-scale prefix-cache evidence.	8
nvembed	NV-Embed: Improved Techniques for Training LLMs as Generalist Embedding Models	Chankyu Lee; Rajarshi Roy; Mengyao Xu; Jonathan Raiman; Mohammad Shoeybi; Bryan Catanzaro; Wei Ping	2024	arXiv preprint	2405.17428					yes (weights)	Latent-attention pooling beats mean/last-token; causal mask removed for contrastive train; 2-stage instruction tuning.	1	3	admit	Pooling verdict (latent attention) plus bidirectional-during-training recipe.	1,2,5
Nomic-Embed	Nomic Embed: Training a Reproducible Long Context Text Embedder	Zach Nussbaum et al.	2024	TMLR (accepted)	2402.01613	https://github.com/nomic-ai/contrastors	802	2025-03-26	Apache-2.0	yes (nomic-ai/nomic-embed-text-v1, 3.5M downloads; data + code released)	Fully reproducible 137M-param, 8192-context embedder beating Ada-002	1	3	admit	Primary source opened (arXiv abs). Only fully reproducible small long-context recipe.	1,2,3,10
