name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason	lanes
DistiLLM	DISTILLM: TOWARDS STREAMLINED DISTILLATION FOR LARGE LANGUAGE MODELS	Ko, Jongwoo; Kim, Sungnyun; Chen, Tianyi; Yun, Se-Young	2024	ICML 2024	2402.03898	https://github.com/jongwooko/distillm	268	2025-03-13	none listed	yes (code)	skew-KL loss plus adaptive off-policy use of student outputs; up to 4.3x speedup over on-policy KD	4	3	admit	verified via arXiv abs page, GitHub API, downloaded PDF; efficiency recipe for single-GPU distillation	4
PEFT-for-RLVR	EVALUATING PARAMETER EFFICIENT METHODS FOR RLVR	Yin, Qingyu; Wu, Yulun; Shen, Zhennan; Li, Sunbowen; Wang, Zhilin; Li, Yanshu et al.	2025	arXiv preprint (venue not verified)	2512.23165					unknown	first systematic PEFT-under-RLVR study on R1-Distill models: DoRA/AdaLoRA/MiSS beat LoRA; PiSSA spectral collapse; rank-1 bottlenecks	4,5	3	admit	verified via arXiv abs page and downloaded PDF; directly constrains spike 011 adapter choices	4
Outlines	Efficient Guided Generation for Large Language Models	Willard & Louf	2023	arXiv preprint	2307.09702	https://github.com/dottxt-ai/outlines	15788	2026-09-09	Apache-2.0	yes: Outlines library	FSM-index constrained decoding at ~O(1) per step	1	3	admit	Abs page opened and verified; repo stats via GitHub API	1
SynthIE	Exploiting Asymmetry for Synthetic Training Data Generation: SynthIE and the Case of Information Extraction	Martin Josifoski, Marija Sakota, Maxime Peyrard, Robert West	2023	EMNLP 2023	2303.04132	https://github.com/epfl-dlab/SynthIE	63	unknown	MIT	yes (code + 1.8M-point synthetic data + 220M/770M models)	Generates 1.8M synthetic text-from-triples points with an LLM; small fine-tunes beat prior SOTA by +57 micro-F1	2	3	admit	Verified at arxiv abs page, ACL anthology page, GitHub page, author homepage 2026-09-12	6
EDC	Extract, Define, Canonicalize: An LLM-based Framework for Knowledge Graph Construction	Bowen Zhang, Harold Soh	2024	EMNLP 2024	2404.03868			unknown	unknown	unknown	Three-phase extract/define/canonicalize KGC with a trained schema retriever for large schemas	1	3	admit	Verified at arxiv.org/abs/2404.03868 and arxiv html full text 2026-09-12	6
FoFo	FoFo: A Benchmark to Evaluate LLMs' Format-Following Capability	Xia et al.	2024	ACL 2024	2402.18667	https://github.com/SalesforceAIResearch/FoFo	27	2026-06-02	Apache-2.0	yes: benchmark	Format-following is independent of content quality; open models lag	1	3	admit	Abs page verified; ACL venue via ACL Anthology page; repo stats via GitHub API	1
GLiNER	GLiNER: Generalist Model for Named Entity Recognition using Bidirectional Transformer	Urchade Zaratiana, Nadi Tomeh, Pierre Holat, Thierry Charnois	2024	NAACL 2024	2311.08526	https://github.com/urchade/GLiNER	3641	2026-09-08	Apache-2.0	yes (code + HF checkpoints; trained on Pile-NER)	Span/type dot-product matching with DeBERTa-v3 encoder beats ChatGPT zero-shot NER; CPU/ONNX/INT8 deployable	1	3	admit	Verified at arxiv abs page, ACL anthology page, GitHub API, repo page 2026-09-12	6
GLiREL	GLiREL: Generalist Model for Zero-Shot Relation Extraction	Jack Boylan, Chris Hokamp, Demian Gholipour Ghalandari	2025	NAACL 2025	2501.03172	https://github.com/jackboyla/GLiREL	290	2026-03-30	none stated	yes (code + synthetic-data generation protocol)	All entity pairs x all labels classified in one forward pass; SOTA on FewRel/WikiZSL zero-shot	1	3	admit	Verified at arxiv abs and html pages, ACL anthology page, HF paper page 2026-09-12	6
Gemma2	Gemma 2: Improving Open Language Models at a Practical Size	Gemma Team (Riviere et al.)	2024	arXiv preprint (cs.CL)	2408.00118	https://github.com/google-deepmind/gemma	5723	2026-09-03	Gemma license (weights, gated; per HF cardData)	yes (2B/9B/27B weights, gated)	2B/9B trained with KD instead of next-token prediction (>50x Chinchilla tokens); SFT (behavioral cloning + on-student distillation) + RLHF + checkpoint averaging	4	3	admit	Primary verified (abs page + PDF fetched); ablation evidence that KD beats from-scratch at 2B scale	7
Gemma3	Gemma 3 Technical Report	Gemma Team (Kamath et al.)	2025	arXiv preprint (cs.CL)	2503.19786	https://github.com/google-deepmind/gemma	5723	2026-09-03	Gemma license (weights, gated; per HF cardData)	yes (1B-27B weights, gated)	256-logit sampled KD pre-training; post-training = IT-teacher KD + RL phase (BOND/WARM/WARP variants); Gemma3-4B-IT competitive with Gemma2-27B-IT	4	3	admit	Primary verified (abs page + PDF fetched); distillation-shaped post-training that makes a 4B match a prior 27B	7
GenIE	GenIE: Generative Information Extraction	Martin Josifoski, Nicola De Cao, Maxime Peyrard, Fabio Petroni, Robert West	2022	NAACL 2022	2112.08340	https://github.com/epfl-dlab/GenIE	104	2023-03-28	MIT	yes (code + 27.7GB Zenodo data/models)	First end-to-end autoregressive closed IE with bi-level constrained generation over a Wikidata schema	1	3	admit	Verified at arxiv abs page, ACL anthology page, GitHub API, Zenodo record 2026-09-12	6,8
GR-as-Dense	Generative Retrieval as Dense Retrieval	Nguyen; Yates	2023	arXiv preprint	2306.11397	n/a	n/a	n/a	n/a	paper only	Analytic result: DSI/NCI-style generative retrieval decomposes into dot products between query and document vectors, i.e. a bi-encoder.	3	3	admit	Abs page and PDF opened and verified; theoretical bridge saying embedding and generative-retrieval training optimize the same object, grounding joint-loss design.	10
GoLLIE	GoLLIE: Annotation Guidelines improve Zero-Shot Information-Extraction	Oscar Sainz, Iker Garcia-Ferrero, Rodrigo Agerri, Oier Lopez de Lacalle, German Rigau, Eneko Agirre	2024	ICLR 2024	2310.03668	https://github.com/hitz-zentroa/GoLLIE	443	2024-10-27	Apache-2.0	yes (code verified; checkpoints per repo, sizes not individually verified)	Fine-tunes LLMs to follow annotation guidelines (label schemas as class definitions) for zero-shot IE	1	3	admit	Verified at arxiv.org/abs/2310.03668 and GitHub API 2026-09-12	6
Gorilla	Gorilla: Large Language Model Connected with Massive APIs	Patil et al.	2023	arXiv preprint	2305.15334	https://github.com/ShishirPatil/gorilla	13021	2026-04-13	Apache-2.0	yes: model + APIBench data	First SFT recipe for API-call emission (LLaMA + retriever + APIBench)	1	3	admit	Abs page opened; title/authors/date verified; repo stars/license/push via GitHub API	1
Granite	Granite-Function Calling Model: Introducing Function Calling Abilities via Multi-task Learning of Granular Tasks	Abdelaziz et al.	2024	EMNLP 2024 Industry	2407.00121	none verified	—	—	—	yes: Apache-2.0 20B model (reported in paper)	7-task granular multi-task SFT with QLoRA r8 on 142k examples	1	3	admit	Abs page opened and verified; EMNLP venue via IBM Research page	1
Hammer	Hammer: Robust Function-Calling for On-Device Language Models via Function Masking	Lin et al.	2024	arXiv preprint	2410.04587	https://github.com/MadeAgents/Hammer	123	2025-06-13	Apache-2.0	yes: 1.5B/4B/7B models + 7.5k irrelevance data	Function masking + irrelevance augmentation; SFT harms abstention w/o negatives	1	3	admit	Abs page opened and verified; repo stats via GitHub API; HF dataset/models via paper	1
GR-scaling	How Does Generative Retrieval Scale to Millions of Passages?	Pradeep; Hui; Gupta; Lelkes; Zhuang; Lin; Metzler; Tran	2023	EMNLP 2023	2305.11841	n/a	n/a	n/a	n/a	paper only	At 8.8M passages only synthetic-query document representations matter; PAWA/2D-IDs/consistency-loss add nothing net of parameters, and naive parameter scaling can hurt; web-scale GR remains unsolved.	3	3	admit	Abs page, PDF, ACL page and Google Research summary opened and verified; the key scale-alone refutation, agreeing with spike 003 on our rig.	10
RETRO	Improving Language Models by Retrieving from Trillions of Tokens	Borgeaud; Mensch; Hoffmann; et al. (DeepMind)	2022	ICML 2022 (arXiv Dec 2021)	2112.04426	n/a	n/a	n/a	n/a	paper only	Frozen BERT retriever plus differentiable encoder and chunked cross-attention matches GPT-3-scale Pile performance with 25x fewer parameters; any transformer can be RETROfitted.	3	3	admit	Abs page and PDF opened and verified; frozen-retriever co-design is the key alternative to full joint training under a 16 GB budget.	10
ICAE	In-context Autoencoder for Context Compression in a Large Language Model	Tao Ge; Jing Hu; Lei Wang; Xun Wang; Si-Qing Chen; Furu Wei	2024	ICLR 2024	2307.06945	https://github.com/getao/icae	178	2024-05-11	CC0-1.0	PWC 240k dataset and LoRA-encoder model released	LoRA encoder (~1% params) compresses context to memory slots for a frozen LLM; AE+LM pretrain then instruction fine-tune; 4x.	6	3	admit	Verified at arXiv abs page, ICLR proceedings page, repo README, and GitHub API; LoRA-encoder plus frozen-consumer split mirrors MelodyScribe's adapter plan.	9
InstructRetro	InstructRetro: Instruction Tuning post Retrieval-Augmented Pretraining	Wang; Ping; McAfee; Xu; Li; Shoeybi; Catanzaro	2023	ICML 2024	2310.07713	code in NVIDIA/Megatron-LM InstructRetro branch (per paper); checkpoint https://huggingface.co/nvidia/retro-8b-instruct-4k (HF page verified)	n/a (branch of monorepo)	n/a	n/a	checkpoint (8B instruct, HF) plus code (branch)	Continued retrieval-augmented pre-training of a 43B GPT on 100B tokens over 1.2T-token store, then instruction tuning; the Retro encoder can be ablated away and the decoder alone keeps the gains.	3,4	3	admit	Abs page, PDF, PMLR page and HF checkpoint page opened and verified; only released Retro-style checkpoint (8B fits 16 GB) plus the finding that retrieval pre-training distills into the decoder.	10
RankGPT	Is ChatGPT Good at Search? Investigating Large Language Models as Re-Ranking Agents	Weiwei Sun; Lingyong Yan; Xinyu Ma; Shuaiqiang Wang; Pengjie Ren; Zhumin Chen; Dawei Yin; Zhaochun Ren	2023	EMNLP 2023	2304.09542	https://github.com/sunnweiwei/RankGPT	669	2024-03-10	Apache-2.0	code released	Instructional permutation generation with sliding window; GPT-4 beats supervised rankers; distilled 435M student beats 3B monoT5 on BEIR.	6	3	admit	Verified at arXiv abs page, ACL Anthology page, repo README, and GitHub API; ordering payload by relevance and distilling the ranker into a small model maps directly onto MelodyScribe.	9
KILT	KILT: a Benchmark for Knowledge Intensive Language Tasks	Fabio Petroni et al. (13 authors)	2021	NAACL 2021	2009.02252	https://github.com/facebookresearch/KILT	978	2022-03-31	MIT	yes: code, 11 datasets on one Wikipedia snapshot	Unifies 5 knowledge-intensive tasks on one snapshot; KILT score requires provenance (R-precision 1) AND downstream output correct: joint retrieval-generation metric.	6	3	admit	Abs page and full PDF opened; id-title match verified. Repo quiet since 2022.	8
KaLM	KaLM: Knowledge-aligned Autoregressive Language Modeling via Dual-view Knowledge Graph Contrastive Learning	Peng Yu; Cheng Deng; Beiya Dai; Xinbing Wang; Ying Wen	2024	arXiv preprint	2412.04948				unknown	unknown	Joint explicit KG-alignment plus implicit AR objectives; reports prior attempts compromised generation	3	3	admit	Abs page + PDF opened; direct joint-objective interference evidence for triple emission	3
KnowCoder	KnowCoder: Coding Structured Knowledge into LLMs for Universal Information Extraction	Zixuan Li, Yutao Zeng, Yuxin Zuo, Weicheng Ren, Wenxuan Liu, Miao Su, Yucan Guo, Yantao Liu, Xiang Li, Zhilei Hu, Long Bai, Wei Li, Yidan Liu, Pan Yang, Xiaolong Jin, Jiafeng Guo, Xueqi Cheng	2024	ACL 2024	2403.07969	https://github.com/ICT-GoKnow/KnowCoder	108	2025-05-28	NOASSERTION	yes (code + 30k-type schema library + data + model per repo)	Python-class schema representation; 1.5B-token code pretrain then instruction tune; +49.8% few-shot vs LLaMA2	1	3	admit	Verified at arxiv abs page, ACL anthology PDF, GitHub API, HF paper page 2026-09-12	6
RAD	Knowing but Not Saying: Preventing Factual Access Failures in LLM SFT via Recall-Anchored Distillation	Haodong Chen; Yadong Wang; Shengtao Wen; Dong Liang; Xiang Chen	2026	arXiv preprint	2608.20794				unknown	unknown	Base-anchored self-distillation on unlabeled OOD text; soft-distribution signal beats replay on same text	3	3	admit	Abs page + PDF opened; maps directly onto spike 011 KL-anchor arm	3
LFM2	LFM2 Technical Report	Amini et al.	2025	arXiv preprint (cs.LG)	2511.23404	n/a	n/a	n/a	custom LFM license (HF cardData: other)	yes (350M-8.3B weights + ExecuTorch/llama.cpp/vLLM packs on HF)	SFT 3 epochs cosine 3e-5 to 1e-7 (500-step warmup, AdamW 0.9/0.95, wd 0.1); length-normalized offline+on-policy preference opt; model merging (soup/TIES/DARE/DELLA); tempered decoupled Top-K KD in pretraining; LFM2-Nanos for extraction/tool-call/RAG	4	3	admit	Primary verified (abs page + PDF fetched); only recipe with exact SFT schedule + merge-based robustness at 350M-2.6B plus task-specialist Nanos	7
LIMA	LIMA: Less Is More for Alignment	Chunting Zhou, Pengfei Liu, Puxin Xu, Srini Iyer, Jiao Sun, Yuning Mao, Xuezhe Ma, Avia Efrat, Ping Yu, Lili Yu, Susan Zhang, Gargi Ghosh, Mike Lewis, Luke Zettlemoyer	2023	arXiv preprint (venue unverified)	2305.11206	none verified	unverified	unverified	unverified	1,000-example set described in paper	1,000 curated examples align a 65B model (superficial-alignment hypothesis).	2	3	admit	Verified at arxiv.org/abs/2305.11206; PDF downloaded and text-checked.	2
LiteGUI	LITEGUI: DISTILLING COMPACT GUI AGENTS WITH REINFORCEMENT LEARNING	Wu, Yubin; Cai, Zicheng; Ning, Liping; Wang, Hua; Chen, Zhi; Tang, Yaohua et al.	2026	arXiv preprint (venue not verified)	2605.07505					unknown	SFT-free on-policy (GKD-style) distillation plus dual-level GRPO unlocks 2B/3B agents past imitation-learning limits	4	3	admit	verified via arXiv abs page and downloaded PDF; on-policy-distill-plus-RL at exactly MelodyScribe scale	4
LLMLingua-2	LLMLingua-2: Data Distillation for Efficient and Faithful Task-Agnostic Prompt Compression	Zhuoshi Pan; Qianhui Wu; Huiqiang Jiang; Menglin Xia; Xufang Luo; Jue Zhang et al.	2024	Findings of ACL 2024	2403.12968	https://github.com/microsoft/LLMLingua	6650	2026-09-10	MIT	extractive compression dataset released	Distils GPT-4 compression into a token-classification compressor (XLM-R/mBERT); task-agnostic, 3-6x faster.	6	3	admit	Verified at arXiv abs page and Microsoft Research page; teacher-distilled dataset recipe transfers to MelodyScribe payload training.	9
LLMLingua	LLMLingua: Compressing Prompts for Accelerated Inference of Large Language Models	Huiqiang Jiang; Qianhui Wu; Chin-Yew Lin; Yuqing Yang; Lili Qiu	2023	EMNLP 2023	2310.05736	https://github.com/microsoft/LLMLingua	6650	2026-09-10	MIT	code+models released	Small-LM perplexity coarse-to-fine prompt compression with budget controller and distribution alignment, up to 20x compression.	6	3	admit	Verified at arXiv abs page, ACL Anthology page, and GitHub API; directly bears on Q6 payload compression.	9
Gist	Learning to Compress Prompts with Gist Tokens	Jesse Mu; Xiang Lisa Li; Noah Goodman	2023	NeurIPS 2023	2304.08467	https://github.com/jayelm/gisting	322	2025-02-14	Apache-2.0	checkpoints released	Attention-mask trick that learns gist-token compression during instruction tuning at no extra cost; up to 26x.	6	3	admit	Verified at arXiv abs page, NeurIPS proceedings page, repo README, and GitHub API; meta-distillation framing is the closest analogue of the [EMB]-marker joint objective.	9
FILCO	Learning to Filter Context for Retrieval-Augmented Generation	Zhiruo Wang; Jun Araki; Zhengbao Jiang; Md Rizwan Parvez; Graham Neubig	2023	preprint	2311.08377	https://github.com/zorazrw/filco	199	2024-04-06	CC-BY-SA-4.0	code+data released	Sentence-level context filtering trained on StrInc/lexical/CXMI silver labels; +3 pts avg, 44-64% shorter prompts.	6	3	admit	Verified at arXiv abs page and GitHub API; sentence-filtering recipe with utility-based silver labels maps to Proof-gated evidence selection.	9
Bonito	Learning to Generate Instruction Tuning Datasets for Zero-Shot Task Adaptation (Bonito)	Nihal V. Nayak, Yiyang Nan, Avi Trost, Stephen H. Bach	2024	arXiv preprint (venue unverified)	2402.18334	https://github.com/BatsResearch/bonito	829	2025-07-15	BSD-3-Clause	Model + HF BatsResearch/bonito-experiment	Conditional task generator turning unannotated text into instruction data; trained on 1.65M remixed examples.	2	3	admit	Verified at arxiv.org/abs/2402.18334; PDF downloaded and text-checked.	2
LoRA-Learns-Less	LoRA Learns Less and Forgets Less	Dan Biderman; Jacob Portes; Jose Javier Gonzalez Ortiz; Mansheej Paul; Philip Greengard; Connor Jennings; Daniel King; Sam Havens; Vitaliy Chiley; Jonathan Frankle; Cody Blakeney; John P. Cunningham	2024	TMLR	2405.09673				unknown	unknown	LoRA underperforms full FT on target but forgets less; full-FT perturbations are 10-100x the rank of LoRA	3	3	admit	Abs page + PDF opened; core capacity/forgetting evidence for joint-recipe design	3,5
Intruder Dimensions	LoRA vs Full Fine-tuning: An Illusion of Equivalence	Reece Shuttleworth, Jacob Andreas, Antonio Torralba, Pratyusha Sharma	2024	NeurIPS 2025 (proceedings PDF URL)	2410.21228	unknown	unverified	unverified	unverified	unknown	LoRA creates high-ranking intruder singular vectors that cause forgetting; scaling them down cuts forgetting with minimal task loss; fixed-alpha high-rank LoRA forgets more.	5	3	admit	Abs page opened; proceedings PDF excerpt confirms venue and alpha=2r finding.	5
LoRA+	LoRA+: Efficient Low Rank Adaptation of Large Models	Soufiane Hayou, Nikhil Ghosh, Bin Yu	2024	ICML 2024 (PMLR v235)	2402.12354	https://github.com/nikhil-ghosh-berkeley/loraplus (in paper; API lookup failed 2026-09-12)	unverified	unverified	unverified	code (per PMLR page)	Same LR for A and B is inefficient at width; fixed ratio eta_B >> eta_A gives ~2x speedup and 1-2% gains at LoRA cost.	5	3	admit	Abs + PMLR + HTML excerpts opened; directly governs LR arm (spike used single 1e-4).	5
LoRA-Null	LoRA-Null: Low-Rank Adaptation via Null Space for Large Language Models (v2 retitled Put the Space of LoRA Initialization to the Extreme to Preserve Pre-trained Knowledge)	Pengwei Tang, Xiaolin Hu, Yong Liu, Lizhong Ding, Dongjie Zhang, Xing Wu, Debing Zhang	2025	AAAI 2026	2503.02659	https://github.com/HungerPWAY/LoRA-Null	11	2026-01-16T16:23:12Z	no license declared	code	Init A in null space of sampled pre-trained activations, freeze A, train B; higher rank trades retention for capacity; compares directly vs LoRA-FA/PiSSA/MiLoRA.	5	3	admit	Abs + HTML excerpts opened; init-space (not residual-distance) framing is the key claim.	5
