name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason	lanes
KAG	Boosting LLMs in Professional Domains via Knowledge Augmented Generation	Liang; Sun; Gui; et al. (Ant Group)	2024	arXiv preprint	2409.13731	https://github.com/OpenSPG/KAG	9048 (GitHub API, fetched 2026-09-12)	2026-01-28	Apache-2.0	yes (code, OpenSPG engine)	KG-vector mutual indexing + logical-form-guided hybrid reasoning for professional QA.	2	3	admit	Verified: arXiv abs + PDF + repo API all fetched.	10
CHESS	CHESS: Contextual Harnessing for Efficient SQL Synthesis	Shayan Talaei; Mohammadreza Pourreza; Yu-Chen Chang; Azalia Mirhoseini; Amin Saberi	2024	arXiv preprint	2405.16755	https://github.com/ShayanTalaei/CHESS	281	2025-05-26	Apache-2.0	yes	Multi-stage text-to-SQL pipeline (retrieve, filter, synthesize, verify) topping BIRD-style tasks.	2	3	admit	Primary source opened (arXiv abs + API record); PDF downloaded and %PDF-verified.	5
CRAG	CRAG: Corrective Retrieval Augmented Generation	Yan, Shi-Qi; Gu, Jia-Chen; Zhu, Yun; Ling, Zhen-Hua	2024	arXiv preprint	2401.15884	https://github.com/HuskyInSalt/CRAG	470	2024-10-08	not specified	code only (checkpoints not confirmed)	Fine-tuned T5-large (770M) retrieval evaluator scores query-doc pairs into Correct/Incorrect/Ambiguous actions triggering refine, web-search fallback, or both.	2	3	admit	Verified at arXiv abs + PDF + repo; evaluator-plus-actions pattern maps directly onto MelodyScribe capability 2 (file vs delegate vs re-retrieve).	4
critic	CRITIC: Large Language Models Can Self-Correct with Tool-Interactive Critiquing	Gou, Shao, Gong, Shen, Yang, Duan, Chen	2023	arXiv preprint	2305.11738	--	n/a	n/a	n/a	none found	Self-correction works when critiques come from external tools, not the model itself.	4	3	admit	Abs page and PDF verified; paper links only tool repos, no official paper code found.	8
CacheBlend	CacheBlend: Fast Large Language Model Serving for RAG with Cached Knowledge Fusion	Jiayi Yao, Hanchen Li, Yuhan Liu, Siddhant Ray, Yihua Cheng, Qizheng Zhang, Kuntai Du, Shan Lu, Junchen Jiang	2024	preprint	2405.16444	https://github.com/YaoJiayi/CacheBlend (+ https://github.com/LMCache/LMCache)	203 (LMCache 11762)	2025-07-15 (LMCache 2026-09-12)	LMCache: Apache-2.0	code (research + production LMCache)	Selective recompute of high-KV-deviation tokens fuses out-of-order chunk caches; 2.2-3.3x TTFT, 2.8-5x throughput.	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.	2
CacheClip	CacheClip: Accelerating RAG with Effective KV Cache Reuse	Bin Yang, Qiuyu Leng, Jun Zeng, Zhenhua Wu	2025	preprint	2510.10129	--	--	--	--	--	Small auxiliary LLM's last-layer attention predicts which tokens need recompute; positions itself vs APE and CacheBlend.	3	3	admit	Verified at arXiv abs + HTML; no dedicated repo in paper; PDF downloaded.	2
CacheGen	CacheGen: KV Cache Compression and Streaming for Fast Large Language Model Serving	Yuhan Liu, Hanchen Li et al.	2023	SIGCOMM 2024	2310.07240	https://github.com/UChi-JCL/CacheGen	170	2024-10-09	None stated	code	Distribution-aware KV tensor codec + bandwidth-adaptive compression; 3.5-4.3x smaller caches, 3.2-3.7x faster fetch+process.	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.	2
CachePrune	CachePrune: Privacy-Aware and Fine-Grained KV Cache Sharing for Efficient LLM Inference	Guanlong Wu, Zhaohan Li, Yao Zhang, Zheng Zhang, Jianyu Niu, Ye Wu, Yinqian Zhang	2026	preprint	2605.23640	--	--	--	--	--	Shares only privacy-irrelevant segments; shows unrestricted cross-user KV sharing leaks inputs via side channels.	3	3	admit	Verified at arXiv abs + HTML; no dedicated repo in paper; PDF downloaded.	2
BIRD	Can LLM Already Serve as A Database Interface? A BIg Bench for Large-Scale Database Grounded Text-to-SQL	Jinyang Li; Binyuan Hui; Ge Qu; Jiaxi Yang; Binhua Li; Bowen Li; Bailin Wang; Bowen Qin; Rongyu Cao; Ruiying Geng; Nan Huo; Xuanhe Zhou; Chenhao Ma; Guoliang Li; Kevin C. C. Chang; Fei Huang; Reynold Cheng; Yongbin Li	2023	arXiv preprint	2305.03111	--	--	--	--	unverified	Large-scale text-to-SQL benchmark on dirty, large real databases with efficiency scoring.	2	3	admit	Primary source opened (arXiv abs + API record); PDF downloaded and %PDF-verified.	5
DIN-SQL	DIN-SQL: Decomposed In-Context Learning of Text-to-SQL with Self-Correction	Mohammadreza Pourreza; Davood Rafiei	2023	arXiv preprint	2304.11015	--	--	--	--	unverified	Decomposes text-to-SQL into schema-linking/classification/generation/self-correction subtasks.	2	3	admit	Primary source opened (arXiv abs + API record); PDF downloaded and %PDF-verified.	5
DeepRetrieval	DeepRetrieval: Hacking Real Search Engines and Retrievers with Large Language Models via Reinforcement Learning	Jiang, Pengcheng; Lin, Jiacheng; Cao, Lang; Tian, Runchu; Kang, SeongKu; Wang, Zifeng; Sun, Jimeng; Han, Jiawei	2025	COLM 2025	2503.00223	https://github.com/pat-jj/DeepRetrieval	719	2025-10-12	MIT	yes (HF org DeepRetrieval: 3B retrieval/SQL checkpoints + community GGUF)	RLVR on retrieval metrics (recall, NDCG, SQL execution accuracy) trains Qwen2.5-3B query/SQL rewriting that beats GPT-4o and Claude-3.5 on those tasks.	2	3	admit	Verified at arXiv abs + PDF + repo + HF Hub + COLM 2025 acceptance; strongest direct support for the small-beats-frontier hypothesis, including text-to-SQL.	4
camel	Defeating Prompt Injections by Design (CaMeL)	Edoardo Debenedetti; Ilia Shumailov; Tianqi Fan; Jamie Hayes; Nicholas Carlini; et al.	2025	arXiv preprint	2503.18813	https://github.com/google-research/camel-prompt-injection	388	unknown	Apache-2.0	yes (research-artifact code)	Capability-based isolation separating data from instructions; defense design pattern for the Folio gate	5	3	admit	Verified: abs page + PDF + repo page live; authors warn artifact is unmaintained research code	6
DimMem	DimMem: Dimensional Structuring for Efficient Long-Term Agent Memory	Wentao Qiu et al.	2026	arXiv preprint	2605.15759	https://github.com/ChowRunFa/DimMem	--	--	--	yes	Atomic typed units with time location reason purpose keyword fields; fine-tuned Qwen3-4B extractor beats larger.	2	3	admit	Abs verified via search listing; typed schema plus small-extractor evidence in one paper.	3
distillm	DistiLLM: Towards Streamlined Distillation for Large Language Models	Ko et al.	2024	arXiv preprint	2402.03898	--	--	--	--	unverified	Skewed KL/SRKL losses unify on/off-policy KD; 1B-7B students keep instruction-following on a single GPU budget	2	3	admit	Abs verified (arXiv search + OpenAlex); PDF downloaded.	7
distilling-step-by-step	Distilling Step-by-Step! Outperforming Larger Language Models with Less Training Data and Smaller Model Sizes	Hsieh et al.	2023	ACL Findings 2023	doi:10.18653/v1/2023.findings-acl.507	--	--	--	--	no (method only; public benchmarks)	540M PaLM learns from GPT-3.5/PaLM-540B rationales and beats the teacher on NLI with far less data	2	3	admit	Verified via OpenAlex + ACL Anthology PDF (downloaded). Core support for hypothesis.	7
DocETL	DocETL: Agentic Query Rewriting and Evaluation for Complex Document Processing	Shreya Shankar; Tristan Chambers; Tarak Shah; Aditya G. Parameswaran; Eugene Wu	2024	arXiv preprint	2410.12189	https://github.com/ucbepic/docetl	4087	2026-09-05	MIT	yes	YAML document pipelines with agent-driven rewrite + validation directives per operation.	2	3	admit	Primary source opened (arXiv abs + API record); PDF downloaded and %PDF-verified.	5
dynamic-cheatsheet	Dynamic Cheatsheet: Test-Time Learning with Adaptive Memory	Mirac Suzgun; Mert Yuksekgonul; Federico Bianchi; Dan Jurafsky; James Zou	2025	arXiv preprint	2504.07952	https://github.com/suzgunmirac/dynamic-cheatsheet	276	unknown	MIT	yes (code)	Single evolving text memory at test time; cumulative and retrieval-synthesis variants	5	3	admit	Verified: abs page + PDF + repo page live with matching citation	6
EPIC	EPIC: Efficient Position-Independent Caching for Serving Large Language Models	Junhao Hu, Wenrui Huang, Weidong Wang, Haoyi Wang, Tiancheng Hu, Qin Zhang, Hao Feng, Xusheng Chen, Yizhou Shan, Tao Xie	2024	preprint	2410.15332	https://github.com/DerekHJH/epic	22	2026-07-13	Apache-2.0	code	LegoLink algorithm suppresses per-document attention-sink distortion; formalizes PIC; up to 8x TTFT.	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.	2
outlines-guided-gen	Efficient Guided Generation for Large Language Models	Willard and Louf	2023	arXiv preprint	2307.09702	https://github.com/dottxt-ai/outlines	15785	2026-09-09	Apache-2.0	yes: library (repo API-verified)	Regex/CFG-constrained decoding with near-zero overhead; the reference implementation of grammar-constrained emission	2	3	admit	Abs+repo verified (API stars/license/push); PDF downloaded. Recalled id 2307.06960 was wrong (see ledger).	7
vLLM-PagedAttention	Efficient Memory Management for Large Language Model Serving with PagedAttention	Woosuk Kwon, Zhuohan Li, Siyuan Zhuang, Ying Sheng, Lianmin Zheng, Cody Hao Yu, J. Gonzalez, Hao Zhang, Ion Stoica	2023	preprint	2309.06180	https://github.com/vllm-project/vllm	91532	2026-09-12	Apache-2.0	engine (production)	Paged KV-cache memory + automatic prefix caching; the baseline reuse API every PIC system builds on or compares against.	3	3	admit	Verified at arXiv abs + GitHub API; PDF downloaded.	2
OneGen	Efficient One-Pass Unified Generation and Retrieval for LLMs	Zhang; Peng; Sun; Chen; Liang; Zhang; Zhou; Chen; Zhang	2024	EMNLP 2024 (Findings)	2409.05152	https://github.com/zjunlp/OneGen	148	2024-11-13	MIT	yes (code + Llama2-7B task models on HF)	Autoregressive retrieval tokens let one LLM generate AND retrieve in a single forward pass reusing KV cache	1	3	admit	Primary source opened (abs + PDF + repo page); only work found that truly unifies in one pass; 7B only	1
expel	ExpeL: LLM Agents Are Experiential Learners	Andrew Zhao; Daniel Huang; Quentin Xu; Matthieu Lin; Yong-Jin Liu; Gao Huang	2024	AAAI 2024	2308.10144	https://github.com/LeapLabTHU/ExpeL	240	2024-12-20	Apache-2.0	yes (code)	Extracts voted natural-language insights from success/failure pools; no weight updates	5	3	admit	Verified: abs page + PDF + AAAI proceedings page + repo live	6,8
FilCo	FilCo: Learning to Filter Context for Retrieval-Augmented Generation	Wang, Zhiruo; Araki, Jun; Jiang, Zhengbao; Parvez, Md Rizwan; Neubig, Graham	2023	arXiv preprint	2311.08377	https://github.com/zorazrw/filco	199	2024-04-06	CC-BY-SA-4.0	code only (checkpoints not confirmed)	Flan-T5-XL (3B) filter + LLaMA-2-7B (LoRA) trained on silver sentence-level labels (StrInc/lexical/CXMI); cuts prompts 44-64%.	2	3	admit	Verified at arXiv abs + PDF full text (exact sizes: 3B filter, 7B LoRA) + repo; sentence-level filtering recipe fits the Score-section filing step.	4
GraphRAG	From Local to Global: A Graph RAG Approach to Query-Focused Summarization	Edge; Trinh; Cheng; Bradley; Chao; Mody; Truitt; Larson et al.	2024	arXiv preprint (Microsoft Research)	2404.16130	https://github.com/microsoft/graphrag	35949 (GitHub API, fetched 2026-09-12)	2026-09-08	MIT	yes (code)	LLM-derived entity KG + Leiden communities + map-reduce community summaries for global sensemaking.	2	3	admit	Verified: arXiv abs + PDF + repo (maintenance-mode notice) all fetched.	10
frugalgpt	FrugalGPT: How to Use Large Language Models While Reducing Cost and Improving Performance	Chen et al.	2023	arXiv preprint	2305.05176	--	--	--	--	unverified	Cascades/routers over heterogeneous LLMs cut cost 98% while beating GPT-4 accuracy; routing evidence	2	3	admit	Abs verified (arXiv+OpenAlex); PDF downloaded.	7
gemma-3	Gemma 3 Technical Report	Gemma Team (Google DeepMind)	2025	arXiv	2503.19786	--	not-fetched	not-fetched	Gemma Terms of Use (weights); paper CC-BY-4.0	yes (1B/4B/12B/27B)	1B text-only at 32K plus 4B-27B multimodal at 128K; function calling + structured output; 5:1 local/global attention shrinks KV cache.	2	3	admit	Abs page and report fetched; 1B/4B are on-device candidates with tool-calling and KV-cache-relevant architecture.	9
Generative-Agents	Generative Agents: Interactive Simulacra of Human Behavior	Joon Sung Park et al.	2023	arXiv preprint	2304.03442	--	--	--	--	yes (code per paper)	Memory stream with salience retrieval plus plan-act-reflect loop; earliest reflection-based consolidation.	4	3	admit	Abs page opened and abstract verified; reflection loop is the template for background revise passes.	3,6,8
GritLM	Generative Representational Instruction Tuning	Muennighoff; Su; Wang; Yang; Wei; Yu; Singh; Kiela	2024	arXiv preprint	2402.09906	https://github.com/ContextualAI/gritlm	700	2025-06-25	MIT	yes (7B + 8x7B weights, code)	Joint generative+embedding training via instruction-switched attention; no-loss unification claim; >60% RAG speedup	1	3	admit	Primary source opened (abs + PDF); core joint-training recipe for capability 1	1
gorilla	Gorilla: Large Language Model Connected with Massive APIs	Patil et al.	2023	arXiv preprint	2305.15334	https://github.com/ShishirPatil/gorilla	unknown	unknown	unverified	code yes (README 200); weights claimed, HF unverified	LLaMA-7B fine-tuned on API docs beats GPT-4 on APIBench; direct precedent for small-model schema emission	2	3	admit	Abs verified; repo existence verified (README 200); PDF downloaded. Stars unrecorded (API rate-limited).	7
ssgm	Governing Evolving Memory in LLM Agents: Risks, Mechanisms, and the Stability and Safety Governed Memory (SSGM) Framework	Lam, Li, Zhang, Zhao	2026	arXiv preprint	2603.11768	--	n/a	n/a	n/a	none found	Governance framework bounding stability/safety risks of self-evolving memory.	4	3	admit	Abs page and PDF verified; no code link found.	8
granite-function-calling	Granite-Function Calling Model: Introducing Function Calling Abilities via Multi-task Learning	Abdelaziz et al.	2024	arXiv preprint	2407.00121	--	--	--	--	weights partially verified (ibm-granite org on HF; 3rd-party FC GGUF seen)	3B/8B Granite function-calling models via multi-task learning; closest released 3B-class tool-calling artefact	2	3	admit	Abs verified; PDF downloaded; HF org verified.	7
GroundedCacheRouting	Grounded Cache Routing for Retrieval-Augmented Generation: When Is It Safe to Reuse an Answer?	Syed Huma Shah (Duke)	2026	preprint	2605.27494	--	--	--	--	--	Reuse-as-decision framing: when cached answers are unsafe (evidence drift, collisions); surveys RAGCache/TurboRAG/CacheBlend/EPIC/PCR/LMCache.	3	3	admit	Verified at arXiv abs + HTML; single-author preprint, no artefact; PDF downloaded.	2
helmet	HELMET: How to Evaluate Long-Context Language Models Effectively and Thoroughly	Yen et al. (Princeton/Intel)	2024	arXiv; ICLR 2025	2410.02694	https://github.com/princeton-nlp/HELMET	227	not-fetched	MIT	yes (7-category bench + code + data + 59-model results)	Controllable-length (to 128K) eval across recall/RAG/rerank/citation/summ/ICL/QA; NIAH does not predict downstream; open models trail closed on reasoning/citations with the gap widening by length; RAG tasks are the best cheap proxy.	3	3	admit	Abs page, paper and repo fetched (stars/license from repo page); the independent long-context check for small-model context claims.	9
HYPIC	HYPIC: Accelerating Hybrid-Attention LLM Serving with Position-Independent Caching	Yifei Liu, Juntong Wu, Yang Liu, Junhao Hu, Minghao Li, Xiaoxu Chen, Weihang Chen	2026	preprint	2607.01299	--	--	--	--	--	First PIC for hybrid linear/full-attention models; per-token KV primitives do not transfer to recurrent state.	3	3	admit	Verified at arXiv abs + HTML; no dedicated repo in paper; PDF downloaded.	2
HijackKV	HijackKV: New Threat in Position-Independent KV Cache Reuse	Yichi Zhang, Zhiqi Wang, Huan Zhang, Yuchen Yang	2026	preprint	2607.19957	https://github.com/YichiCS/KV-Cache-Hijack	6	2026-07-22	MIT	PoC exploit	Token-match-retrieved KV encodes its original context; attacker chunk steers victim generation. Directly constrains PIC.	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.	2
HippoRAG-2	HippoRAG 2 (in: From RAG to Memory: Non-Parametric Continual Learning for Large Language Models)	Bernal Jimenez Gutierrez et al.	2025	ICML 2025	2502.14802	https://github.com/OSU-NLP-Group/HippoRAG	3999	2026-09-03	MIT	yes	Deeper passage integration plus online LLM use; fixes factual-memory drop of graph-augmented RAG.	2	3	admit	Abs page opened and abstract verified; brief ID attribution confirmed correct after checking.	3,10
HippoRAG	HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models	Bernal Jimenez Gutierrez et al.	2024	NeurIPS 2024	2405.14831	https://github.com/OSU-NLP-Group/HippoRAG	3999	2026-09-03	MIT	yes	OpenIE triples plus Personalized PageRank over passage nodes for associative retrieval.	2	3	admit	Abs page opened and abstract verified; repo metadata fetched; foundation for HippoRAG 2.	3,10
HybridRAG	HybridRAG: Integrating Knowledge Graphs and Vector Retrieval Augmented Generation for Efficient Information Extraction	Bhaskarjit Sarmah; Benika Hall; Rohan Rao; Sunil Patel; Stefano Pasquali; Dhagash Mehta	2024	arXiv preprint	2408.04948	--	--	--	--	unverified	Fuses KG triples with vector RAG for extraction over financial documents.	2	3	admit	Primary source opened (arXiv abs + API record); PDF downloaded and %PDF-verified.	5
NV-Embed	Improved Techniques for Training LLMs as Generalist Embedding Models	Lee; Roy; Xu; Raiman; Shoeybi; Catanzaro; Ping	2024	ICLR 2025 (Spotlight)	2405.17428	https://huggingface.co/nvidia/NV-Embed-v2	n/a (HF 23k downloads)	--	CC-BY-NC-4.0	yes (v1 + v2 weights, gated)	Latent-attention pooling beats last-token/mean; causal mask removed for contrastive training; two-stage instruction tuning	1	3	admit	Primary source opened (abs + PDF); no GitHub repo exists, weights on HF; NC license limits reuse	1
E5-Mistral	Improving Text Embeddings with Large Language Models	Wang; Yang; Huang; Yang; Majumder; Wei	2024	ACL 2024	2401.00368	https://github.com/microsoft/unilm	22212	2026-08-26	MIT	yes (E5-mistral-7b-instruct + synthetic data recipe)	Synthetic-data-only contrastive fine-tune of decoder LLM, last-token pooling, <1k steps	1	3	admit	Primary source opened (abs + PDF); star count is repo-level (unilm monorepo), not model-level	1,9
Agent-Memory-Database	Is Agent Memory a Database? Rethinking Data Foundations for Long-Term AI Agent Memory	Abdelghny Orogat et al.	2026	arXiv preprint	2605.26252	--	--	--	--	unknown	Argues memory systems fail on growth revision and forgetting; demands database-style revision and transaction semantics.	2	3	admit	Abs page opened and abstract verified; strongest primary-source case for an SQL-backed store.	3
jsonschemabench	JSONSchemaBench: A Rigorous Benchmark of Structured Outputs for Language Models	Geng et al.	2025	arXiv preprint	2501.10868	--	--	--	--	yes: benchmark+harness (paper claims release)	First rigorous structured-output benchmark across engines; measures validity AND quality incl. small models	2	3	admit	Abs verified (arXiv search + OpenAlex); PDF downloaded.	7
KVPacket	KV Packet: Recomputation-Free Context-Independent KV Caching for LLMs	Chuangtao Chen, Grace Li Zhang, Xunzhao Yin, Cheng Zhuo, Bing Li, Ulf Schlichtmann	2026	preprint	2604.13226	https://github.com/ChuangtaoChen-TUM/KVPacket	37	2026-08-12	MIT	code	Immutable cached-document packets wrapped in trainable soft prompts; zero-recompute alternative to CacheBlend/EPIC-style repair.	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.	2
KVLink	KVLink: Accelerating Large Language Models via Efficient KV Cache Reuse	Jingbo Yang, Bairu Hou, Wei Wei, Yujia Bao, Shiyu Chang	2025	preprint	2502.16002	https://github.com/UCSB-NLP-Chang/KVLink	48	2025-10-16	None stated	code	Independent per-document precompute + link techniques to repair missing cross-document attention on concat.	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.	2
lfm2	LFM2 Technical Report	Amini et al. (Liquid AI)	2025	arXiv	2511.23404	--	not-fetched	not-fetched	open weights (SPDX not-fetched)	yes (350M-2.6B dense, 8.3B MoE, VL/audio/ColBERT)	Hybrid gated-conv + sparse-attention backbone, 2x CPU prefill/decode vs same-size transformers; 32K; task Nanos for tool-calling/RAG/extraction; LFM2-ColBERT retriever.	2	3	admit	Abs page and report fetched; most edge-explicit family in lane, with tool-calling and retrieval variants.	9
LMCache	LMCache (production KV-cache layer; CacheBlend's serving home)	LMCache org contributors	2024	n/a (code)	--	https://github.com/LMCache/LMCache	11762	2026-09-12	Apache-2.0	engine (production)	Production disaggregated prefill/decode KV store (CPU/DRAM/remote tiers) used by CacheBlend-line research.	3	3	admit	Verified via GitHub API; paper-line covered by CacheBlend row; no clone per lane rules.	1,2,3,5,6,7,9,10
Evaporate	Language Models Enable Simple Systems for Generating Structured Views of Heterogeneous Data Lakes	Simran Arora; Brandon Yang; Sabri Eyuboglu; Avanika Narayan; Andrew Hojel; Immanuel Trummer; Christopher Re	2023	arXiv preprint	2304.09433	https://github.com/HazyResearch/evaporate	498	2024-03-26	unverified	yes	Synthesizes code + weak-supervision to extract structured views without training data.	2	3	admit	Primary source opened (arXiv abs + API record); PDF downloaded and %PDF-verified.	5
language-models-need-sleep	Language Models Need Sleep: Learning to Self-Modify and Consolidate Memories	Behrouz, Hashemi, Javanmard, Mirrokni	2026	arXiv preprint	2606.03979	--	n/a	n/a	n/a	none found	LM learns a sleep-time self-modification/consolidation operator over its own memory.	4	3	admit	Abs page and PDF verified; no code link found in paper.	8
LLM2Vec	Large Language Models Are Secretly Powerful Text Encoders	BehnamGhader; Adlakha; Mosbach; Bahdanau; Chapados; Reddy	2024	COLM 2024	2404.05961	https://github.com/McGill-NLP/llm2vec	1714	2026-04-04	MIT	yes (code + adapted 1.3B-8B checkpoints)	Three-step decoder-to-encoder conversion: bidirectional attention + MNTP + contrastive	1	3	admit	Primary source opened (abs + PDF); applies down to 1.3B; pooling/attention ablations	1
learning-to-forget	Learning to Forget: Sleep-Inspired Memory Consolidation for Resolving Proactive Interference in Large Language Models	Xie	2026	arXiv preprint	2603.14517	--	n/a	n/a	n/a	none found	Sleep-inspired consolidation that forgets interfering memories to cut proactive interference.	4	3	admit	Abs page and PDF verified; no code link found.	8
LightMem	Lightweight LLM Agent Memory with Small Language Models	Jiaquan Zhang et al.	2026	ACL 2026	2604.07798	https://github.com/zjunlp/LightMem	--	--	--	yes	STM MTM LTM tiers with SLMs driving retrieval write and offline consolidation; small-model memory operators.	2	3	admit	Abs verified via search listing; directly supports small-model-manages-memory claim.	3
lora	LoRA: Low-Rank Adaptation of Large Language Models	Hu et al.	2021	arXiv preprint (ICLR 2022)	2106.09685	--	--	--	--	unverified (method; implementations ubiquitous)	Rank-8/16 adapters match full fine-tuning on GPT-3 175B; the baseline adapter method for 2B fine-tunes	2	3	admit	Abs verified via OpenAlex; PDF downloaded.	7
longembed	LongEmbed: Extending Embedding Models for Long Context Retrieval	Zhu et al.	2024	arXiv; EMNLP 2024	2404.12096	https://github.com/dwzhu-pku/LongEmbed	148	2024-11-09	none declared	yes (6-task bench + E5-Base-4k + E5-RoPE-Base)	Two synthetic plus four dispersed-answer real tasks to 32K; 512-context models collapse; training-free PI/NTK/SelfExtend recovers length; RoPE beats APE for extension.	1	3	admit	Abs page, paper and repo fetched (stars/push via GitHub API); the long-document embedder test MelodyScribe sections must pass.	9
MIRIX	MIRIX: Multi-Agent Memory System for LLM-Based Agents	Yu Wang et al.	2025	arXiv preprint	2507.07957	--	--	--	--	unknown	Six-component modular memory (episodic semantic procedural etc.) routed by a multi-agent controller.	2	3	admit	Abs page opened and abstract verified; richest typed-store decomposition found.	3
mteb	MTEB: Massive Text Embedding Benchmark	Muennighoff et al.	2022	arXiv; EACL 2023	2210.07316	https://github.com/embeddings-benchmark/mteb	3420	2026-09-11	Apache-2.0	yes (benchmark + code + leaderboard)	8 tasks / 58 datasets / 112 languages; no single method dominates all tasks.	1	3	admit	Abs page, paper and repo fetched (stars/push/license via GitHub API); the mandatory embedder-eval harness.	9
